date,open,high,low,close
2020-12-27,2.36,2.36,1.62,1.62
2020-12-31,1.08,1.11,0.892788,1.09
2021-1-3,1.37,1.37,1.03,1.03
2021-1-7,1.12,1.52,1.01,1.52
2021-1-11,1.31,1.31,1.2,1.22
2021-1-15,1.13,1.33,1.13,1.33
2021-1-19,1.35,2.03,1.35,1.87
2021-1-23,1.92,1.92,1.57,1.77
2021-1-27,1.93,2.66,1.93,2.66
2021-1-31,2.52,4.58,2.52,4.58
2021-2-3,4.99,5.01,4.67,4.67
2021-2-7,5.02,5.82,5.02,5.25
2021-2-11,4.94,5.35,4.89,4.89
2021-2-15,5.64,5.7,5.27,5.27
2021-2-19,4.93,4.93,4.75,4.78
2021-2-23,4.63,5.18,4.55,4.55
2021-2-27,3.61,4.54,3.61,4.54
2021-2-28,4.21,4.21,3.82,4.02
2021-3-7,4.09,4.09,3.76,3.83
2021-3-11,3.99,4.45,3.99,4.02
2021-3-15,4.01,4.15,3.81,3.88
2021-3-19,3.94,5.02,3.94,4.58
2021-3-23,4.92,4.92,4.31,4.31
2021-3-27,4.11,4.11,3.67,4.01
2021-3-31,4.0,4.58,4.0,4.5
2021-4-3,4.32,4.68,4.32,4.68
2021-4-7,4.25,5.27,4.25,5.23
2021-4-11,5.54,6.21,5.54,5.75
2021-4-15,5.68,5.88,5.54,5.88
2021-4-19,6.09,6.47,5.28,5.28
2021-4-23,4.85,5.05,4.61,4.61
2021-4-27,4.28,4.54,3.94,4.54
2021-4-30,5.13,5.55,5.13,5.46
2021-5-3,5.67,5.67,5.36,5.36
2021-5-7,5.86,6.62,5.22,6.62
2021-5-11,6.59,7.45,6.2,6.2
2021-5-15,6.52,6.52,5.55,5.75
2021-5-19,5.26,5.3,4.71,5.3
2021-5-23,3.31,3.31,3.31,3.31
