date,open,high,low,close
2019-6-23,1.6,3.17,1.6,2.16
2019-6-27,1.9,1.9,1.41,1.59
2019-6-30,1.42,1.51,1.42,1.51
2019-7-3,1.44,1.44,1.14,1.14
2019-7-7,1.12,1.12,1.01,1.03
2019-7-11,1.07,1.07,1.03,1.03
2019-7-15,0.872244,0.937563,0.825472,0.825472
2019-7-19,0.806375,0.806375,0.646455,0.694514
2019-7-23,0.671519,0.71009,0.641283,0.641283
2019-7-27,0.583116,0.660242,0.583116,0.660242
2019-7-31,0.578984,0.578984,0.567562,0.567562
2019-8-3,0.564017,0.80139,0.555042,0.80139
2019-8-7,0.743325,0.787866,0.701381,0.701381
2019-8-11,0.691529,0.808651,0.691529,0.808651
2019-8-15,0.822138,0.822138,0.719747,0.719747
2019-8-19,0.707881,0.707881,0.677317,0.677317
2019-8-23,0.661222,0.661222,0.570949,0.572019
2019-8-27,0.57414,0.575261,0.520963,0.520963
2019-8-31,0.523193,0.523193,0.399293,0.422682
2019-9-3,0.40417,0.40417,0.39157,0.39157
2019-9-7,0.369631,0.392685,0.346488,0.347854
2019-9-11,0.370783,0.376735,0.364862,0.364862
2019-9-15,0.347752,0.347752,0.31847,0.321796
2019-9-19,0.328687,0.335314,0.320246,0.335314
2019-9-23,0.313908,0.316827,0.302098,0.302098
2019-9-27,0.268637,0.268637,0.19088,0.19088
2019-9-30,0.189631,0.224723,0.189631,0.224723
2019-10-3,0.250774,0.250774,0.229636,0.229636
2019-10-7,0.230574,0.230574,0.21276,0.21276
2019-10-11,0.217863,0.253197,0.217863,0.253197
2019-10-15,0.253109,0.267809,0.250336,0.267809
2019-10-19,0.24841,0.24841,0.22716,0.22716
2019-10-23,0.224217,0.227485,0.223926,0.225123
2019-10-27,0.210309,0.215921,0.202434,0.215921
2019-10-31,0.216895,0.233306,0.216895,0.218303
2019-11-3,0.220764,0.259041,0.220764,0.259041
2019-11-7,0.264559,0.286997,0.257659,0.285503
2019-11-11,0.27242,0.27242,0.258852,0.268405
2019-11-15,0.278416,0.286803,0.273659,0.279355
2019-11-19,0.26878,0.271058,0.251521,0.251521
2019-11-23,0.243565,0.249763,0.219421,0.219421
2019-11-27,0.224745,0.224745,0.203505,0.218615
2019-11-30,0.224916,0.278705,0.224916,0.278705
2019-12-3,0.26764,0.279009,0.262561,0.279009
2019-12-7,0.282426,0.282426,0.263265,0.264601
2019-12-11,0.273658,0.297326,0.273658,0.273842
2019-12-15,0.284911,0.284911,0.2535,0.2535
2019-12-19,0.264247,0.264247,0.220516,0.244548
2019-12-23,0.230099,0.24905,0.230099,0.24905
2019-12-27,0.239961,0.239961,0.22734,0.237441
2019-12-31,0.228882,0.233728,0.223841,0.223841
2020-1-3,0.216964,0.219714,0.213346,0.213346
2020-1-7,0.225873,0.23986,0.225873,0.23986
2020-1-11,0.230968,0.230968,0.222346,0.226421
2020-1-15,0.225943,0.230231,0.225943,0.230231
2020-1-19,0.248018,0.260504,0.24022,0.259037
2020-1-23,0.239516,0.248629,0.237277,0.246287
2020-1-27,0.234724,0.237035,0.231996,0.237035
2020-1-31,0.239087,0.243562,0.239087,0.241868
2020-2-3,0.246571,0.253658,0.246571,0.253658
2020-2-7,0.262911,0.286877,0.262911,0.286877
2020-2-11,0.313286,0.361979,0.30694,0.361979
2020-2-15,0.369179,0.389243,0.348289,0.366205
2020-2-19,0.333747,0.349269,0.32989,0.349269
2020-2-23,0.3571,0.448021,0.3571,0.448021
2020-2-27,0.462151,0.491755,0.368924,0.368924
2020-2-29,0.374802,0.374802,0.350111,0.350111
2020-3-3,0.332064,0.374211,0.319097,0.374211
2020-3-7,0.369572,0.394114,0.369572,0.374919
2020-3-11,0.340895,0.340895,0.276962,0.28231
2020-3-15,0.270479,0.270479,0.139988,0.14966
2020-3-19,0.149257,0.149257,0.127851,0.138871
2020-3-23,0.158153,0.158438,0.14688,0.14688
2020-3-27,0.158449,0.159816,0.154095,0.158697
2020-3-31,0.156448,0.156448,0.143758,0.153444
2020-4-3,0.154283,0.157528,0.154283,0.157528
2020-4-7,0.159253,0.186483,0.159253,0.186483
2020-4-11,0.18365,0.202426,0.178827,0.178827
2020-4-15,0.18034,0.18034,0.17521,0.178511
2020-4-19,0.168575,0.199484,0.168575,0.199484
2020-4-23,0.191612,0.191612,0.178683,0.18363
2020-4-27,0.19296,0.223932,0.19296,0.223932
2020-4-30,0.215311,0.22802,0.215311,0.22802
2020-5-3,0.211281,0.219226,0.211281,0.219226
2020-5-7,0.208113,0.208822,0.197388,0.197388
2020-5-11,0.202935,0.216273,0.192533,0.192533
2020-5-15,0.186455,0.19747,0.186455,0.19747
2020-5-19,0.192002,0.200371,0.192002,0.200371
2020-5-23,0.199888,0.208941,0.19226,0.202308
2020-5-27,0.202064,0.21782,0.196828,0.21782
2020-5-31,0.220235,0.242796,0.220235,0.242796
2020-6-3,0.233769,0.248999,0.233769,0.245897
2020-6-7,0.241819,0.241819,0.231005,0.237548
2020-6-11,0.232163,0.246043,0.232163,0.246043
2020-6-15,0.233491,0.233491,0.230656,0.232597
2020-6-19,0.226998,0.243841,0.226998,0.239966
2020-6-23,0.23288,0.23882,0.231183,0.23882
2020-6-27,0.248341,0.248341,0.22175,0.22175
2020-6-30,0.204248,0.212518,0.204248,0.212518
2020-7-3,0.207055,0.212972,0.203545,0.203545
2020-7-7,0.202836,0.228748,0.202836,0.228748
2020-7-11,0.231182,0.251149,0.231182,0.251149
2020-7-15,0.279111,0.279111,0.265993,0.273302
2020-7-19,0.289951,0.354122,0.289951,0.354122
2020-7-23,0.388689,0.388689,0.345941,0.346173
2020-7-27,0.328571,0.328571,0.312803,0.321389
2020-7-31,0.287954,0.333662,0.287954,0.333662
2020-8-3,0.325829,0.327537,0.301453,0.301453
2020-8-7,0.308865,0.36406,0.308865,0.36406
2020-8-11,0.365265,0.468501,0.365265,0.468501
2020-8-15,0.438575,0.654142,0.438575,0.638438
2020-8-19,0.638474,0.638474,0.558882,0.558882
2020-8-23,0.593012,0.62927,0.532527,0.566671
2020-8-27,0.617387,0.633363,0.548651,0.548651
2020-8-31,0.521226,0.534546,0.517901,0.517901
2020-9-3,0.506245,0.515174,0.468218,0.468218
2020-9-7,0.352111,0.376143,0.342873,0.376143
2020-9-11,0.370294,0.41374,0.350744,0.41374
2020-9-15,0.409223,0.410481,0.377967,0.383653
2020-9-19,0.353844,0.35788,0.335101,0.335101
2020-9-23,0.340663,0.340663,0.288992,0.305554
2020-9-27,0.270773,0.325231,0.270773,0.325231
2020-9-30,0.314564,0.334986,0.314564,0.334986
2020-10-3,0.345263,0.345263,0.316859,0.316859
2020-10-7,0.315868,0.319416,0.28525,0.28525
2020-10-11,0.304259,0.328572,0.304259,0.327754
2020-10-15,0.328138,0.344925,0.328138,0.329213
2020-10-19,0.313534,0.314542,0.298868,0.314542
2020-10-23,0.303217,0.314584,0.287811,0.314584
2020-10-27,0.308135,0.308512,0.290343,0.290343
2020-10-31,0.286823,0.286823,0.254373,0.254373
2020-11-3,0.247647,0.25656,0.245186,0.245186
2020-11-7,0.231314,0.2768,0.231314,0.2768
2020-11-11,0.257635,0.287051,0.257635,0.287051
2020-11-15,0.277551,0.280521,0.265616,0.265616
2020-11-19,0.256047,0.273075,0.256047,0.266917
2020-11-23,0.26445,0.314811,0.26445,0.297978
2020-11-27,0.333138,0.35537,0.300423,0.300423
2020-11-30,0.298828,0.317608,0.298828,0.317608
2020-12-3,0.326223,0.341547,0.309738,0.341547
2020-12-7,0.340654,0.343768,0.328356,0.335796
2020-12-11,0.331411,0.331411,0.293997,0.293997
2020-12-15,0.290963,0.312347,0.290963,0.312347
2020-12-19,0.326258,0.353244,0.326258,0.353244
2020-12-23,0.35579,0.35579,0.326969,0.335895
2020-12-27,0.291371,0.314966,0.291371,0.308927
2020-12-31,0.320505,0.356425,0.320505,0.335254
2021-1-3,0.33121,0.407296,0.33121,0.407296
2021-1-7,0.417305,0.510081,0.417305,0.510081
2021-1-11,0.463304,0.487757,0.454925,0.46322
2021-1-15,0.416298,0.453456,0.396427,0.452353
2021-1-19,0.489046,0.571807,0.489046,0.563461
2021-1-23,0.524848,0.54632,0.463163,0.511317
2021-1-27,0.557616,0.597731,0.557616,0.597731
2021-1-31,0.543144,0.658955,0.543144,0.658955
2021-2-3,0.648142,0.651449,0.642267,0.651449
2021-2-7,0.741677,0.833507,0.707002,0.809921
2021-2-11,0.843891,1.03,0.843891,1.03
2021-2-15,1.24,1.7,1.24,1.47
2021-2-19,1.35,1.4,1.31,1.4
2021-2-23,1.38,1.38,1.15,1.15
2021-2-27,1.01,1.07,0.973664,0.973664
2021-2-28,1.11,1.11,1.02,1.08
2021-3-7,1.18,1.18,1.05,1.06
2021-3-11,1.11,1.18,1.11,1.11
2021-3-15,1.08,1.14,1.05,1.14
2021-3-19,1.2,1.29,1.2,1.26
2021-3-23,1.26,1.26,1.1,1.1
2021-3-27,1.12,1.12,1.04,1.12
2021-3-31,1.16,1.41,1.16,1.33
2021-4-3,1.36,1.36,1.33,1.35
2021-4-7,1.27,1.4,1.27,1.4
2021-4-11,1.31,1.39,1.31,1.39
2021-4-15,1.51,1.51,1.46,1.46
2021-4-19,1.57,1.69,1.46,1.46
2021-4-23,1.3,1.3,1.17,1.17
2021-4-27,1.16,1.24,1.1,1.24
2021-4-30,1.3,1.32,1.29,1.32
2021-5-3,1.4,1.4,1.38,1.38
2021-5-7,1.44,1.53,1.29,1.53
2021-5-11,1.58,1.58,1.38,1.38
2021-5-15,1.48,1.48,1.27,1.48
2021-5-19,1.38,1.41,1.28,1.37
2021-5-23,0.957609,0.957609,0.957609,0.957609
