date,open,high,low,close
2019-2-27,2.75,3.99,2.75,3.99
2019-2-28,3.53,3.9,2.8,3.9
2019-3-7,3.86,5.18,3.55,4.97
2019-3-11,5.3,5.99,5.3,5.99
2019-3-15,6.0,6.42,3.9,6.42
2019-3-19,6.23,6.23,3.87,4.31
2019-3-23,4.29,4.29,3.44,3.44
2019-3-27,3.34,3.64,3.12,3.64
2019-3-31,3.66,3.66,3.4,3.4
2019-4-3,3.57,3.72,3.53,3.72
2019-4-7,3.66,4.56,3.54,4.56
2019-4-11,4.69,5.37,3.23,3.77
2019-4-15,3.56,4.44,3.56,4.44
2019-4-19,4.27,4.4,4.27,4.36
2019-4-23,4.88,5.41,4.31,4.31
2019-4-27,4.09,4.09,3.31,3.69
2019-4-30,3.44,4.41,3.44,3.71
2019-5-3,3.91,4.54,3.91,4.54
2019-5-7,5.27,5.27,4.73,4.73
2019-5-11,4.62,4.62,3.83,3.83
2019-5-15,4.1,4.1,3.8,4.0
2019-5-19,4.55,4.76,4.28,4.76
2019-5-23,4.88,4.88,4.34,4.34
2019-5-27,4.33,4.5,4.33,4.5
2019-5-31,4.69,5.9,4.69,5.9
2019-6-3,5.84,6.38,5.79,6.38
2019-6-7,6.58,6.58,5.87,6.05
2019-6-11,6.32,6.32,5.84,6.11
2019-6-15,5.96,6.26,5.96,6.25
2019-6-19,6.18,7.02,6.18,6.59
2019-6-23,6.65,6.73,6.51,6.73
2019-6-27,6.83,6.83,6.39,6.39
2019-6-30,5.47,6.1,5.47,6.1
2019-7-3,5.46,5.48,5.34,5.34
2019-7-7,5.63,5.63,5.32,5.32
2019-7-11,5.4,5.4,4.48,4.48
2019-7-15,4.36,4.53,3.82,3.82
2019-7-19,4.19,4.19,3.68,4.11
2019-7-23,3.93,4.21,3.93,4.0
2019-7-27,3.73,3.9,3.73,3.89
2019-7-31,3.63,3.63,3.59,3.59
2019-8-3,3.65,3.66,3.53,3.66
2019-8-7,3.69,3.77,3.57,3.57
2019-8-11,3.5,3.5,3.14,3.34
2019-8-15,3.52,3.52,2.86,2.86
2019-8-19,2.9,2.97,2.9,2.97
2019-8-23,2.91,2.91,2.66,2.72
2019-8-27,2.7,2.7,2.62,2.62
2019-8-31,2.58,2.58,2.16,2.16
2019-9-3,2.03,2.13,2.03,2.13
2019-9-7,2.16,2.16,1.95,2.04
2019-9-11,2.18,2.74,2.18,2.58
2019-9-15,2.57,3.17,2.57,3.11
2019-9-19,3.43,3.43,3.29,3.29
2019-9-23,3.12,3.18,2.9,2.9
2019-9-27,2.58,2.58,2.23,2.23
2019-9-30,2.26,2.27,2.2,2.2
2019-10-3,2.63,2.63,2.6,2.6
2019-10-7,2.59,2.77,2.57,2.64
2019-10-11,2.89,2.9,2.89,2.9
2019-10-15,2.81,3.1,2.81,3.1
2019-10-19,2.94,2.94,2.75,2.75
2019-10-23,2.75,2.98,2.75,2.87
2019-10-27,2.68,3.08,2.68,3.08
2019-10-31,3.18,3.18,3.01,3.01
2019-11-3,3.27,3.42,3.27,3.42
2019-11-7,3.39,3.83,3.39,3.83
2019-11-11,3.87,4.2,3.81,4.2
2019-11-15,4.35,4.35,3.98,3.98
2019-11-19,3.92,3.97,3.58,3.58
2019-11-23,3.49,3.49,2.94,2.94
2019-11-27,3.22,3.48,3.09,3.48
2019-11-30,3.56,4.0,3.56,4.0
2019-12-3,3.92,3.92,3.67,3.67
2019-12-7,3.64,3.67,3.5,3.67
2019-12-11,3.77,3.92,3.57,3.57
2019-12-15,3.83,4.21,3.83,4.21
2019-12-19,4.51,4.51,3.62,4.3
2019-12-23,4.25,4.29,4.06,4.27
2019-12-27,4.29,4.55,4.25,4.55
2019-12-31,4.5,4.5,4.15,4.15
2020-1-3,4.22,4.38,4.1,4.1
2020-1-7,4.23,4.25,4.1,4.1
2020-1-11,4.08,4.28,3.99,4.28
2020-1-15,4.26,4.51,4.24,4.51
2020-1-19,4.56,5.07,4.56,4.61
2020-1-23,4.53,4.64,4.5,4.64
2020-1-27,4.43,4.48,4.42,4.48
2020-1-31,4.5,4.58,4.4,4.41
2020-2-3,4.38,4.41,4.37,4.41
2020-2-7,4.27,4.57,4.22,4.57
2020-2-11,4.82,4.82,4.65,4.79
2020-2-15,5.11,5.15,4.9,5.1
2020-2-19,4.58,4.58,4.29,4.43
2020-2-23,4.14,4.99,4.14,4.99
2020-2-27,4.81,4.81,3.66,3.66
2020-2-29,3.69,3.69,3.56,3.56
2020-3-3,3.46,3.71,3.37,3.71
2020-3-7,3.62,3.84,3.62,3.84
2020-3-11,3.62,3.62,3.02,3.07
