date,open,high,low,close
2020-9-23,5.28,5.28,5.28,5.28
2020-9-27,3.49,4.7,3.49,4.52
2020-9-30,4.65,4.65,4.14,4.14
2020-10-3,4.33,4.33,3.91,3.91
2020-10-7,4.03,4.03,3.54,3.54
2020-10-11,3.44,4.24,3.44,4.03
2020-10-15,4.1,4.48,4.1,4.15
2020-10-19,4.13,4.19,4.05,4.13
2020-10-23,4.05,4.33,3.81,4.33
2020-10-27,4.26,4.26,4.13,4.15
2020-10-31,4.13,4.13,3.72,3.72
2020-11-3,3.64,3.69,3.62,3.62
2020-11-7,3.32,3.6,3.18,3.6
2020-11-11,3.42,3.58,3.41,3.58
2020-11-15,3.49,3.69,3.43,3.5
2020-11-19,3.55,3.85,3.55,3.76
2020-11-23,3.64,4.01,3.64,3.9
2020-11-27,4.07,4.26,3.53,3.53
2020-11-30,3.6,3.7,3.6,3.7
2020-12-3,3.68,3.76,3.57,3.76
2020-12-7,3.82,3.82,3.56,3.6
2020-12-11,3.38,3.38,3.14,3.16
2020-12-15,3.25,3.34,3.14,3.14
2020-12-19,3.3,3.41,3.21,3.41
2020-12-23,3.47,3.47,3.09,3.09
2020-12-27,2.99,3.11,2.93,2.93
2020-12-31,2.92,2.95,2.91,2.91
2021-1-3,3.21,3.67,3.21,3.5
2021-1-7,3.46,4.62,3.46,4.62
2021-1-11,4.49,7.27,4.49,6.6
2021-1-15,6.5,9.3,6.5,9.3
2021-1-19,9.36,13.13,9.36,12.69
2021-1-23,11.8,12.69,11.35,12.69
2021-1-27,12.87,12.87,12.21,12.21
2021-1-31,11.19,11.99,11.19,11.96
2021-2-3,13.47,13.5,13.18,13.5
2021-2-7,14.86,17.98,14.86,17.98
2021-2-11,24.09,55.51,24.09,55.51
2021-2-15,47.23,48.98,38.51,38.51
2021-2-19,37.96,40.9,36.24,40.9
2021-2-23,38.94,38.94,32.45,32.45
2021-2-27,27.52,29.74,25.99,25.99
2021-2-28,26.14,27.43,23.86,27.19
2021-3-7,27.39,27.39,24.44,24.99
2021-3-11,26.57,34.28,25.5,29.81
2021-3-15,30.74,30.99,28.12,29.27
2021-3-19,29.07,33.31,29.07,33.31
2021-3-23,37.84,37.84,29.51,29.51
2021-3-27,28.76,28.76,25.77,28.16
2021-3-31,27.67,29.62,27.67,29.62
2021-4-3,28.65,28.92,28.35,28.92
2021-4-7,28.2,31.64,28.2,31.64
2021-4-11,29.58,32.08,29.58,32.08
2021-4-15,31.48,38.52,31.48,38.52
2021-4-19,37.13,37.13,29.28,29.28
2021-4-23,26.52,27.22,24.19,24.19
2021-4-27,23.54,26.23,21.51,26.23
2021-4-30,27.59,28.38,27.59,28.01
2021-5-3,32.87,32.87,31.3,31.3
2021-5-7,36.02,38.0,30.48,38.0
2021-5-11,38.25,39.07,34.92,34.92
2021-5-15,37.18,37.18,33.48,37.17
2021-5-19,34.48,36.83,33.57,36.83
2021-5-23,23.94,23.94,23.94,23.94
