date,open,high,low,close
2017-8-3,767.77,767.77,398.84,398.84
2017-8-7,234.62,320.2,206.84,320.2
2017-8-11,341.14,341.14,271.54,322.8
2017-8-15,310.33,310.33,292.78,296.64
2017-8-19,294.7,705.79,294.3,669.18
2017-8-23,699.02,699.02,595.5,663.78
2017-8-27,614.61,630.67,609.58,610.22
2017-8-31,584.51,585.4,539.28,585.4
2017-9-3,618.52,618.52,571.01,606.99
2017-9-7,526.34,651.59,526.34,651.59
2017-9-11,609.37,609.37,554.36,557.3
2017-9-15,538.09,538.09,366.09,419.6
2017-9-19,438.32,531.51,430.11,531.51
2017-9-23,475.17,475.17,416.01,426.77
2017-9-27,421.06,454.51,421.06,454.51
2017-9-30,445.34,445.34,430.46,430.46
2017-10-3,414.91,417.27,404.23,404.23
2017-10-7,358.71,362.81,354.72,358.87
2017-10-11,340.77,340.77,314.64,314.64
2017-10-15,311.56,320.69,311.56,314.18
2017-10-19,311.47,357.65,311.47,332.29
2017-10-23,326.08,332.47,320.15,320.15
2017-10-27,328.51,370.24,328.51,370.24
2017-10-31,426.28,448.61,426.28,439.91
2017-11-3,531.21,646.58,531.21,646.58
2017-11-7,620.79,629.18,605.3,617.21
2017-11-11,621.6,1366.27,621.6,1366.27
2017-11-15,1539.13,1539.13,1223.41,1223.41
2017-11-19,913.79,1249.33,913.79,1171.02
2017-11-23,1227.95,1648.17,1177.72,1648.17
2017-11-27,1664.51,1702.73,1583.9,1639.95
2017-11-30,1574.39,1574.39,1346.03,1420.75
2017-12-3,1471.92,1561.02,1459.12,1561.02
2017-12-7,1576.25,1576.25,1364.52,1420.16
2017-12-11,1499.4,1499.4,1348.88,1437.22
2017-12-15,1616.72,1970.54,1616.72,1838.44
2017-12-19,1816.4,2857.53,1816.4,2857.53
2017-12-23,3785.82,3785.82,2559.09,3099.99
2017-12-27,3156.74,3156.74,2840.43,2853.22
2017-12-31,2608.98,2730.94,2360.84,2537.08
2018-1-3,2426.97,2630.51,2426.97,2630.51
2018-1-7,2458.89,2674.25,2458.89,2633.21
2018-1-11,2529.06,2988.64,2529.06,2560.77
2018-1-15,2753.59,2813.39,2522.19,2522.19
2018-1-19,1802.03,1802.03,1764.42,1801.53
2018-1-23,2093.92,2093.92,1624.16,1624.16
2018-1-27,1638.01,1642.64,1587.52,1638.79
2018-1-31,1737.92,1737.92,1453.64,1453.64
2018-2-3,1474.81,1474.81,1194.06,1194.06
2018-2-7,1254.55,1254.55,918.77,965.2
2018-2-11,972.63,1297.51,972.63,1246.81
2018-2-15,1221.69,1359.65,1221.69,1359.65
2018-2-19,1374.66,1540.68,1374.66,1480.53
2018-2-23,1525.02,1525.02,1225.53,1228.14
2018-2-27,1285.84,1285.84,1170.59,1245.79
2018-2-28,1241.94,1284.19,1205.37,1284.19
2018-3-7,1262.07,1273.01,1210.29,1210.29
2018-3-11,1103.84,1103.84,1008.41,1008.41
2018-3-15,1124.21,1124.21,957.43,957.43
2018-3-19,953.51,1001.84,936.39,936.39
2018-3-23,1002.07,1059.89,1002.07,1015.25
2018-3-27,1024.91,1024.91,918.08,918.08
2018-3-31,880.57,880.57,701.96,701.96
2018-4-3,688.62,688.62,646.0,665.04
2018-4-7,714.39,714.39,610.79,610.79
2018-4-11,639.43,651.14,638.95,649.92
2018-4-15,664.63,735.71,664.63,730.09
2018-4-19,772.71,887.76,756.74,887.76
2018-4-23,969.4,1195.37,969.4,1195.37
2018-4-27,1432.46,1432.46,1276.46,1415.22
2018-4-30,1334.27,1433.17,1334.27,1433.17
2018-5-3,1344.01,1449.42,1344.01,1449.42
2018-5-7,1508.09,1769.51,1508.09,1769.51
2018-5-11,1653.84,1653.84,1521.18,1521.18
2018-5-15,1373.65,1496.21,1373.65,1437.18
2018-5-19,1344.61,1344.61,1203.97,1203.97
2018-5-23,1175.07,1287.0,1142.54,1142.54
2018-5-27,1008.19,1070.49,1007.69,1007.69
2018-5-31,994.73,994.73,888.96,983.22
2018-6-3,992.82,1077.32,992.82,1077.32
2018-6-7,1162.02,1162.02,1104.46,1127.24
2018-6-11,1134.32,1134.32,939.04,939.04
2018-6-15,961.68,961.68,845.09,897.09
2018-6-19,843.98,881.65,843.36,881.65
2018-6-23,900.82,900.82,757.99,757.99
2018-6-27,764.8,764.8,697.53,697.53
2018-6-30,712.86,715.01,661.44,715.01
2018-7-3,746.12,778.13,732.87,778.13
2018-7-7,755.23,760.22,732.53,732.53
2018-7-11,769.33,769.33,686.41,686.41
2018-7-15,705.03,705.03,682.68,698.94
2018-7-19,722.37,851.89,722.37,824.16
2018-7-23,821.51,821.51,764.39,786.17
2018-7-27,782.72,869.47,782.72,803.39
2018-7-31,815.97,829.32,815.97,816.56
2018-8-3,775.89,775.89,732.4,732.4
