date,open,high,low,close
2018-11-11,70.61,85.7,70.61,85.7
2018-11-15,114.14,209.19,113.59,177.68
2018-11-19,93.4,132.74,93.4,105.85
2018-11-23,73.12,73.12,42.02,42.02
2018-11-27,55.26,114.91,55.26,114.91
2018-11-30,93.78,98.23,93.78,97.71
2018-12-3,95.71,99.94,93.43,99.94
2018-12-7,94.03,103.72,86.73,103.72
2018-12-11,103.66,103.66,94.1,94.1
2018-12-15,89.1,89.1,70.25,70.25
2018-12-19,67.82,83.58,67.82,83.58
2018-12-23,85.88,110.23,85.88,107.8
2018-12-27,105.59,105.59,91.98,92.73
2018-12-31,83.32,91.45,83.32,87.55
2019-1-3,83.89,93.16,83.89,93.16
2019-1-7,87.17,88.75,86.63,88.75
2019-1-11,86.96,86.96,74.7,74.7
2019-1-15,73.49,81.81,73.49,79.11
2019-1-19,76.25,76.74,74.77,74.77
2019-1-23,76.26,76.26,74.12,75.34
2019-1-27,74.81,74.81,73.27,73.27
2019-1-31,71.23,71.23,63.12,65.79
2019-2-3,63.47,65.4,63.47,65.4
2019-2-7,63.72,63.72,60.95,62.72
2019-2-11,62.47,66.89,62.47,65.87
2019-2-15,64.72,65.34,62.43,62.43
2019-2-19,62.25,67.31,62.15,67.31
2019-2-23,66.64,66.94,65.04,65.42
2019-2-27,67.85,73.59,60.35,73.59
2019-2-28,67.3,67.3,66.11,66.11
2019-3-7,64.78,66.63,62.71,66.24
2019-3-11,66.26,66.51,64.91,66.34
2019-3-15,64.74,65.61,64.3,65.61
2019-3-19,67.21,68.31,66.6,66.6
2019-3-23,66.12,66.19,65.2,66.19
2019-3-27,66.81,66.81,63.21,63.21
2019-3-31,65.24,65.24,63.87,64.9
2019-4-3,64.84,78.96,64.84,78.96
2019-4-7,82.19,84.32,82.19,84.32
2019-4-11,86.14,86.14,78.36,79.9
2019-4-15,71.71,71.71,69.82,70.61
2019-4-19,58.96,59.23,55.23,59.23
2019-4-23,59.26,59.26,56.72,57.56
2019-4-27,56.09,56.09,51.64,54.27
2019-4-30,54.52,54.52,52.36,52.36
2019-5-3,53.59,53.59,52.81,52.81
2019-5-7,53.79,53.79,52.58,52.58
2019-5-11,52.73,58.79,52.73,57.87
2019-5-15,62.14,62.14,57.83,60.52
2019-5-19,73.12,73.12,59.86,59.86
2019-5-23,65.2,104.8,63.0,104.75
2019-5-27,101.29,106.3,93.13,106.3
2019-5-31,116.74,193.33,116.74,184.57
2019-6-3,195.51,195.51,188.69,189.38
2019-6-7,219.42,225.61,199.48,199.48
2019-6-11,203.39,203.39,184.12,191.71
2019-6-15,186.04,214.91,186.04,214.91
2019-6-19,209.16,225.08,209.16,221.91
2019-6-23,224.61,240.38,219.97,240.38
2019-6-27,238.05,238.05,217.99,217.99
2019-6-30,198.24,214.61,198.24,214.61
2019-7-3,195.41,197.79,195.41,196.43
2019-7-7,203.92,203.92,196.46,199.97
2019-7-11,199.95,204.56,191.71,191.71
2019-7-15,161.55,165.88,128.83,128.83
2019-7-19,129.56,134.99,112.82,134.99
2019-7-23,146.29,176.92,146.29,168.45
2019-7-27,171.01,171.01,161.35,162.63
2019-7-31,149.84,149.84,146.05,146.05
2019-8-3,147.7,148.35,145.7,148.35
2019-8-7,150.94,152.79,147.54,147.54
2019-8-11,147.82,147.82,140.07,141.54
2019-8-15,146.31,146.31,134.11,134.11
2019-8-19,135.5,136.06,133.41,136.06
2019-8-23,145.36,145.36,133.85,135.36
2019-8-27,135.88,135.88,131.82,131.82
2019-8-31,133.89,133.89,125.16,130.55
2019-9-3,129.33,133.62,129.33,133.62
2019-9-7,134.82,134.82,130.54,130.94
2019-9-11,134.41,135.11,126.6,126.6
2019-9-15,119.46,119.46,118.07,119.39
2019-9-19,119.45,124.85,119.45,124.74
2019-9-23,122.97,123.09,119.58,119.58
2019-9-27,113.7,113.7,82.45,83.56
2019-9-30,84.19,84.57,82.48,82.48
2019-10-3,87.6,87.6,84.72,84.74
2019-10-7,83.2,83.2,81.03,81.03
2019-10-11,84.04,91.76,84.04,88.43
2019-10-15,83.63,87.07,83.63,87.07
2019-10-19,89.26,90.57,87.92,90.57
2019-10-23,89.85,112.36,89.85,105.99
2019-10-27,97.19,138.59,97.19,138.59
2019-10-31,139.92,140.89,135.02,135.02
2019-11-3,128.96,131.68,128.96,131.68
2019-11-7,129.17,139.0,129.17,139.0
2019-11-11,133.11,134.48,124.41,134.48
2019-11-15,131.27,131.86,126.09,126.09
2019-11-19,123.63,123.66,116.37,116.37
2019-11-23,109.47,109.47,96.94,96.94
2019-11-27,107.96,107.96,99.2,106.94
2019-11-30,107.54,108.94,105.5,108.94
2019-12-3,107.14,107.14,100.36,100.36
2019-12-7,95.38,96.56,94.68,96.56
2019-12-11,95.58,96.82,95.17,95.56
2019-12-15,94.51,94.51,92.59,92.59
2019-12-19,93.07,93.07,80.56,85.92
2019-12-23,84.56,88.23,84.56,88.19
2019-12-27,86.03,87.35,85.86,87.35
2019-12-31,90.06,100.15,90.06,95.73
2020-1-3,97.25,97.25,93.05,93.05
2020-1-7,102.2,117.43,102.2,117.43
2020-1-11,114.05,172.6,113.8,172.6
2020-1-15,149.97,420.61,149.97,420.61
2020-1-19,312.7,313.09,251.58,251.58
2020-1-23,276.09,315.29,276.09,307.51
2020-1-27,259.07,273.75,259.07,273.75
2020-1-31,297.66,298.41,286.68,298.41
2020-2-3,271.69,278.84,271.69,278.84
2020-2-7,280.27,298.33,270.65,294.11
2020-2-11,295.24,354.39,295.24,354.39
2020-2-15,367.76,367.76,358.96,360.81
2020-2-19,310.17,310.75,285.32,309.14
2020-2-23,289.76,289.76,279.79,279.79
2020-2-27,294.51,294.51,224.58,224.58
2020-2-29,226.94,226.94,217.38,217.38
2020-3-3,211.55,251.37,211.55,251.37
2020-3-7,248.24,248.24,231.67,248.14
2020-3-11,234.55,234.55,196.28,198.53
2020-3-15,192.12,192.12,104.32,115.91
2020-3-19,122.34,122.34,111.12,121.64
2020-3-23,157.08,167.83,157.08,158.66
2020-3-27,169.63,178.03,169.63,173.3
2020-3-31,164.27,165.98,148.42,165.98
2020-4-3,165.26,176.11,165.26,176.11
2020-4-7,178.48,192.41,174.67,192.41
2020-4-11,185.6,217.45,185.6,185.96
2020-4-15,186.94,191.2,186.94,189.03
