date,open,high,low,close
2019-2-3,0.000495,0.000495,0.000433,0.000433
2019-2-7,0.000601,0.000992,0.000601,0.000951
2019-2-11,0.000923,0.000923,0.00082,0.000878
2019-2-15,0.000852,0.001024,0.000852,0.000909
2019-2-19,0.00093,0.00093,0.000874,0.000923
2019-2-23,0.000931,0.000987,0.000928,0.000986
2019-2-27,0.000994,0.000994,0.000863,0.000863
2019-2-28,0.000858,0.000858,0.000775,0.000775
2019-3-7,0.000805,0.000805,0.000753,0.000778
2019-3-11,0.000756,0.000756,0.000733,0.000753
2019-3-15,0.000742,0.00075,0.000741,0.000741
2019-3-19,0.000755,0.000855,0.000755,0.000821
2019-3-23,0.000804,0.000824,0.000777,0.000777
2019-3-27,0.000802,0.000802,0.000746,0.000746
2019-3-31,0.000771,0.000771,0.000761,0.000761
2019-4-3,0.000764,0.000791,0.000753,0.000791
2019-4-7,0.000767,0.000795,0.000758,0.000789
2019-4-11,0.000789,0.000789,0.00076,0.00076
2019-4-15,0.000697,0.00078,0.000697,0.00078
2019-4-19,0.000737,0.000751,0.000737,0.000751
2019-4-23,0.000742,0.000742,0.000716,0.000716
2019-4-27,0.000703,0.000703,0.000639,0.000644
2019-4-30,0.000646,0.000646,0.000615,0.000615
2019-5-3,0.00064,0.000653,0.00064,0.000648
2019-5-7,0.000641,0.000641,0.000618,0.000618
2019-5-11,0.00061,0.000663,0.00061,0.000648
2019-5-15,0.000669,0.000811,0.000651,0.000811
2019-5-19,0.00085,0.001008,0.00085,0.001008
2019-5-23,0.001053,0.001209,0.001049,0.001049
2019-5-27,0.001273,0.001427,0.001215,0.001427
2019-5-31,0.001717,0.001802,0.001467,0.001467
2019-6-3,0.001589,0.001681,0.001589,0.001632
2019-6-7,0.001421,0.001421,0.001275,0.001275
2019-6-11,0.001337,0.001337,0.001165,0.001237
2019-6-15,0.001197,0.001327,0.001197,0.001283
2019-6-19,0.00128,0.00138,0.00128,0.001323
2019-6-23,0.001363,0.001371,0.001296,0.001371
2019-6-27,0.001345,0.001355,0.001246,0.001246
2019-6-30,0.001212,0.001334,0.001212,0.001334
2019-7-3,0.001358,0.001453,0.001358,0.001367
2019-7-7,0.001326,0.001326,0.001283,0.001326
2019-7-11,0.00145,0.00145,0.001216,0.001216
2019-7-15,0.001089,0.001194,0.00101,0.00101
2019-7-19,0.001039,0.001039,0.000834,0.000942
2019-7-23,0.00099,0.001024,0.000963,0.000963
2019-7-27,0.000875,0.000875,0.000849,0.000854
2019-7-31,0.000796,0.000796,0.000774,0.000787
2019-8-3,0.000808,0.000808,0.000772,0.000772
2019-8-7,0.000757,0.00076,0.000757,0.00076
2019-8-11,0.00075,0.00075,0.00067,0.00067
2019-8-15,0.0007,0.0007,0.000615,0.000615
2019-8-19,0.000626,0.000643,0.000606,0.000643
2019-8-23,0.00066,0.00066,0.000613,0.000625
2019-8-27,0.000632,0.000632,0.000617,0.000624
2019-8-31,0.000613,0.000613,0.000527,0.000534
2019-9-3,0.000524,0.000533,0.000524,0.000533
2019-9-7,0.000541,0.000541,0.000491,0.000491
2019-9-11,0.000525,0.000585,0.000525,0.000565
2019-9-15,0.000557,0.000591,0.000557,0.000591
2019-9-19,0.000576,0.000629,0.000566,0.000629
2019-9-23,0.000606,0.000606,0.00055,0.00055
2019-9-27,0.000513,0.000513,0.000428,0.000428
2019-9-30,0.000433,0.000439,0.000424,0.000424
2019-10-3,0.00041,0.000432,0.00041,0.000432
2019-10-7,0.000428,0.000428,0.000408,0.000408
2019-10-11,0.000435,0.000459,0.000435,0.000455
2019-10-15,0.000437,0.00044,0.000436,0.00044
2019-10-19,0.000425,0.000425,0.000412,0.000413
2019-10-23,0.000415,0.000419,0.000408,0.000408
2019-10-27,0.000382,0.000425,0.000382,0.000417
2019-10-31,0.000463,0.00049,0.000463,0.000465
2019-11-3,0.00046,0.00046,0.000458,0.000459
2019-11-7,0.000456,0.00047,0.000456,0.00047
2019-11-11,0.000455,0.000455,0.000438,0.000448
2019-11-15,0.000437,0.000437,0.000427,0.000427
2019-11-19,0.000418,0.000425,0.000402,0.000402
2019-11-23,0.000398,0.000398,0.000327,0.000327
2019-11-27,0.000322,0.000322,0.000293,0.000305
2019-11-30,0.000319,0.00033,0.000319,0.00033
2019-12-3,0.000309,0.00031,0.000299,0.000299
2019-12-7,0.00031,0.00031,0.000301,0.000306
2019-12-11,0.000314,0.000319,0.00029,0.00029
2019-12-15,0.000291,0.000312,0.000282,0.000312
2019-12-19,0.000313,0.000313,0.000272,0.000292
2019-12-23,0.000283,0.000301,0.000283,0.000301
2019-12-27,0.000284,0.000284,0.000275,0.000275
2019-12-31,0.000271,0.000295,0.000271,0.000295
2020-1-3,0.000286,0.000286,0.000273,0.000273
2020-1-7,0.000287,0.000307,0.000287,0.000307
2020-1-11,0.000292,0.000296,0.000288,0.000296
2020-1-15,0.000297,0.000347,0.000297,0.000347
2020-1-19,0.000372,0.000378,0.000361,0.000378
2020-1-23,0.000353,0.000371,0.000353,0.000371
2020-1-27,0.000348,0.000349,0.000343,0.000349
2020-1-31,0.000357,0.000373,0.000357,0.000369
2020-2-3,0.000372,0.000394,0.000372,0.000394
2020-2-7,0.000388,0.000466,0.000388,0.000466
2020-2-11,0.000486,0.000486,0.000456,0.000456
2020-2-15,0.000468,0.000576,0.000468,0.000576
2020-2-19,0.000548,0.000553,0.000532,0.000547
2020-2-23,0.000495,0.000496,0.000478,0.000481
2020-2-27,0.00049,0.00049,0.000363,0.000363
2020-2-29,0.000378,0.000378,0.000373,0.000373
2020-3-3,0.000361,0.000381,0.000361,0.000381
2020-3-7,0.000369,0.000388,0.000366,0.000388
2020-3-11,0.000371,0.000371,0.000315,0.000319
2020-3-15,0.000314,0.000314,0.000178,0.000199
2020-3-19,0.000213,0.000213,0.000193,0.000201
2020-3-23,0.000231,0.000231,0.000204,0.000204
2020-3-27,0.000218,0.000225,0.000218,0.000225
2020-3-31,0.000214,0.000222,0.000205,0.000222
2020-4-3,0.000222,0.000227,0.00022,0.000227
2020-4-7,0.000225,0.000251,0.000225,0.000251
2020-4-11,0.000241,0.00025,0.000228,0.000228
2020-4-15,0.000227,0.000231,0.000226,0.000226
2020-4-19,0.000217,0.000234,0.000217,0.000234
2020-4-23,0.000228,0.000228,0.000219,0.000227
2020-4-27,0.00023,0.000249,0.00023,0.000249
2020-4-30,0.000242,0.000268,0.000242,0.000268
2020-5-3,0.000257,0.000294,0.000257,0.000294
2020-5-7,0.000301,0.000301,0.000285,0.000285
2020-5-11,0.000295,0.000295,0.000258,0.000258
2020-5-15,0.000256,0.000273,0.000256,0.000271
2020-5-19,0.000265,0.000274,0.000265,0.000274
2020-5-23,0.000274,0.000274,0.000258,0.000266
2020-5-27,0.000269,0.00028,0.000267,0.000279
2020-5-31,0.000281,0.000303,0.000281,0.000303
2020-6-3,0.000301,0.000307,0.000298,0.000298
2020-6-7,0.000305,0.00033,0.000305,0.000325
2020-6-11,0.000324,0.000326,0.000322,0.000322
2020-6-15,0.000287,0.000312,0.000287,0.000303
2020-6-19,0.000301,0.000307,0.000301,0.000304
2020-6-23,0.000297,0.000313,0.000297,0.000313
2020-6-27,0.000307,0.000307,0.000299,0.000299
