date,open,high,low,close
2017-7-27,203.79,203.79,192.86,192.86
2017-7-31,183.39,186.73,170.91,178.8
2017-8-3,184.63,187.21,182.32,187.21
2017-8-7,186.32,194.92,186.32,194.92
2017-8-11,202.74,202.74,198.92,202.13
2017-8-15,202.08,202.08,194.16,201.16
2017-8-19,228.59,274.71,224.68,274.71
2017-8-23,288.78,291.58,277.78,291.58
2017-8-27,310.52,393.46,310.52,358.98
2017-8-31,350.92,377.09,350.92,377.09
2017-9-3,390.3,390.3,346.42,358.8
2017-9-7,319.1,345.74,319.1,342.33
2017-9-11,334.63,334.63,317.75,317.75
2017-9-15,325.26,325.26,233.2,282.76
2017-9-19,293.66,329.72,293.66,323.94
2017-9-23,341.7,349.63,330.92,349.63
2017-9-27,330.5,342.69,330.5,342.69
2017-9-30,334.73,334.73,324.7,324.7
2017-10-3,314.1,314.1,296.06,296.06
2017-10-7,306.06,309.9,304.41,309.9
2017-10-11,300.56,300.56,282.19,298.51
2017-10-15,289.1,312.62,289.1,309.07
2017-10-19,300.4,300.47,295.76,295.76
2017-10-23,287.2,289.88,275.88,289.88
2017-10-27,294.37,294.37,281.59,281.59
2017-10-31,275.33,284.66,275.33,275.73
2017-11-3,270.95,281.49,262.52,281.49
2017-11-7,274.84,294.62,274.26,294.62
2017-11-11,316.04,349.0,316.04,349.0
2017-11-15,542.28,542.28,426.68,426.68
2017-11-19,416.23,454.33,416.23,440.3
2017-11-23,480.75,581.03,480.75,570.78
2017-11-27,568.34,648.17,568.34,640.32
2017-11-30,639.57,798.8,639.57,798.8
2017-12-3,803.67,803.67,767.94,767.94
2017-12-7,777.52,777.52,727.64,750.22
2017-12-11,745.07,774.03,699.0,774.03
2017-12-15,911.3,961.05,888.24,914.28
2017-12-19,1000.93,1205.31,1000.93,1205.31
2017-12-23,1493.59,1493.59,1222.69,1349.25
2017-12-27,1234.34,1239.43,1193.01,1193.01
2017-12-31,1151.86,1151.86,1070.56,1082.02
2018-1-3,1064.81,1194.64,1064.81,1161.0
2018-1-7,1177.13,1220.51,1149.21,1206.58
2018-1-11,1134.77,1176.51,1040.7,1040.7
2018-1-15,1102.74,1154.93,979.02,979.02
2018-1-19,765.41,857.5,765.41,857.5
2018-1-23,951.93,951.93,761.18,761.18
2018-1-27,784.74,795.02,777.2,777.44
2018-1-31,812.85,812.85,675.18,675.18
2018-2-3,694.48,694.48,586.13,586.13
2018-2-7,623.72,623.72,442.98,526.38
2018-2-11,523.21,635.51,523.21,635.51
2018-2-15,587.47,679.78,587.47,679.78
2018-2-19,703.52,740.6,692.04,692.04
2018-2-23,727.49,727.49,638.42,640.68
2018-2-27,638.82,638.82,591.61,624.76
2018-2-28,617.13,617.13,586.57,607.74
2018-3-7,605.99,612.4,579.47,579.47
2018-3-11,519.83,519.83,485.67,485.67
2018-3-15,530.73,530.73,427.18,427.18
2018-3-19,422.84,432.72,392.64,394.51
2018-3-23,411.65,436.86,411.65,413.06
2018-3-27,429.73,429.73,391.21,391.21
2018-3-31,355.75,355.75,313.26,313.26
2018-4-3,307.4,313.68,292.88,313.68
2018-4-7,341.58,341.58,286.73,286.73
2018-4-11,297.47,310.18,297.47,299.78
2018-4-15,308.47,353.79,308.47,353.79
2018-4-19,378.51,418.65,361.84,418.65
2018-4-23,432.63,466.84,432.63,466.84
2018-4-27,502.1,530.75,462.86,502.54
2018-4-30,471.97,495.13,471.97,495.13
2018-5-3,470.89,482.67,470.89,482.67
2018-5-7,498.56,505.24,483.58,483.58
2018-5-11,456.17,456.17,416.7,416.7
2018-5-15,392.66,433.88,392.66,433.88
2018-5-19,428.95,428.95,386.95,394.91
2018-5-23,383.67,399.08,358.64,358.64
2018-5-27,342.95,343.9,322.62,322.62
2018-5-31,315.32,317.32,287.04,303.39
2018-6-3,305.15,319.63,305.15,319.63
2018-6-7,328.51,328.51,313.96,313.96
2018-6-11,310.93,310.93,271.44,271.44
2018-6-15,271.52,271.52,246.35,268.07
2018-6-19,256.36,265.33,256.36,263.49
2018-6-23,260.48,264.04,237.9,237.9
2018-6-27,244.39,244.39,230.61,230.61
2018-6-30,228.6,234.22,220.32,234.22
2018-7-3,237.63,249.72,234.46,249.72
2018-7-7,239.75,245.11,239.75,242.0
2018-7-11,246.6,246.6,220.38,220.38
2018-7-15,217.32,223.51,212.22,223.51
2018-7-19,231.05,264.56,231.05,264.56
2018-7-23,259.61,259.61,247.09,250.2
2018-7-27,242.21,253.86,241.94,241.94
2018-7-31,244.25,244.25,235.6,235.6
2018-8-3,218.04,218.78,210.76,210.76
2018-8-7,211.16,211.16,199.58,199.58
2018-8-11,187.04,187.04,168.41,168.41
2018-8-15,165.98,167.34,138.23,138.23
2018-8-19,153.46,166.63,150.85,151.73
2018-8-23,154.5,154.5,136.19,136.19
2018-8-27,140.55,145.04,140.55,141.47
2018-8-31,184.88,194.41,183.7,183.7
2018-9-3,194.57,220.35,194.57,212.2
2018-9-7,217.13,217.13,174.1,180.82
2018-9-11,186.44,201.03,185.36,201.03
2018-9-15,187.1,192.52,185.35,191.14
2018-9-19,191.72,192.58,183.62,190.58
2018-9-23,191.32,209.2,191.32,206.15
2018-9-27,205.26,205.26,184.26,184.26
2018-9-30,195.03,195.03,187.57,188.5
2018-10-3,187.68,187.68,181.73,181.73
2018-10-7,178.11,182.56,178.11,181.3
2018-10-11,180.85,182.82,179.01,179.01
2018-10-15,157.63,162.34,157.63,158.73
2018-10-19,167.39,167.39,156.17,156.17
2018-10-23,154.33,156.68,153.73,153.73
2018-10-27,154.56,156.65,154.56,156.23
2018-10-31,153.64,156.69,149.92,153.66
2018-11-3,153.26,155.6,153.26,155.6
2018-11-7,155.82,171.01,155.82,171.01
2018-11-11,167.42,167.42,160.5,162.2
2018-11-15,160.36,163.28,146.86,146.86
2018-11-19,139.87,139.87,133.26,133.26
2018-11-23,111.73,114.82,103.01,103.01
2018-11-27,100.82,100.82,90.61,90.61
2018-11-30,90.39,99.64,90.39,97.51
2018-12-3,92.81,95.12,92.81,92.87
2018-12-7,85.54,85.54,65.47,65.47
2018-12-11,68.15,75.61,67.6,67.6
2018-12-15,63.2,64.22,58.51,58.51
2018-12-19,61.58,72.33,61.58,72.33
2018-12-23,72.65,95.54,72.65,85.82
2018-12-27,88.49,90.48,81.76,82.52
2018-12-31,76.27,82.41,76.27,80.65
2019-1-3,78.57,83.17,78.57,83.17
2019-1-7,79.81,84.06,79.64,84.06
2019-1-11,82.67,84.56,72.64,72.64
2019-1-15,72.84,72.92,68.89,71.25
2019-1-19,69.56,71.24,69.56,69.94
2019-1-23,72.15,72.15,68.4,70.24
2019-1-27,70.58,72.67,70.58,72.67
2019-1-31,70.73,70.73,66.52,68.14
2019-2-3,66.53,66.53,65.98,66.18
2019-2-7,65.98,67.23,64.86,64.86
2019-2-11,66.6,74.1,66.6,73.77
2019-2-15,78.37,82.38,77.34,77.34
2019-2-19,77.34,83.79,77.34,83.79
2019-2-23,87.23,87.23,83.01,85.78
2019-2-27,89.22,89.22,79.26,81.45
2019-2-28,80.21,81.53,80.21,81.31
2019-3-7,79.84,81.42,76.65,81.42
2019-3-11,80.78,83.11,78.13,80.93
2019-3-15,81.64,90.33,81.64,88.03
2019-3-19,89.63,91.69,89.63,90.06
2019-3-23,90.28,92.29,89.87,90.07
2019-3-27,91.06,91.46,88.69,88.69
2019-3-31,93.1,100.53,93.1,100.53
2019-4-3,110.32,124.47,110.32,124.47
2019-4-7,125.67,132.69,123.29,131.37
2019-4-11,135.6,136.26,129.74,129.74
2019-4-15,123.01,123.05,119.39,123.05
2019-4-19,118.79,124.08,118.79,124.08
2019-4-23,122.58,123.24,121.62,122.32
2019-4-27,118.51,118.51,109.41,109.97
2019-4-30,109.65,110.23,107.1,107.1
2019-5-3,110.2,116.05,110.2,116.05
2019-5-7,119.53,119.55,118.37,119.21
2019-5-11,117.29,117.51,112.4,112.7
2019-5-15,124.68,141.58,124.39,141.58
2019-5-19,153.45,153.45,138.83,141.67
2019-5-23,172.53,172.53,155.08,155.08
2019-5-27,154.1,161.66,154.1,161.66
2019-5-31,167.18,170.0,163.3,163.3
2019-6-3,166.13,166.13,163.55,165.27
2019-6-7,156.69,156.69,143.49,144.38
2019-6-11,149.62,151.64,142.73,151.64
2019-6-15,147.66,156.82,147.66,153.72
2019-6-19,154.45,158.55,154.45,158.55
2019-6-23,161.99,176.74,161.82,176.74
2019-6-27,175.26,178.07,174.38,174.38
2019-6-30,156.31,170.23,156.31,170.22
2019-7-3,157.07,157.07,151.97,151.97
2019-7-7,158.26,158.26,153.75,155.39
2019-7-11,157.86,159.19,151.15,151.15
2019-7-15,143.21,143.8,124.39,124.39
2019-7-19,121.64,121.64,100.21,110.47
2019-7-23,112.51,118.64,112.51,114.28
2019-7-27,109.8,115.13,109.7,115.13
2019-7-31,110.34,110.34,104.57,104.57
2019-8-3,108.15,108.15,105.12,105.12
2019-8-7,106.8,110.83,106.25,107.35
2019-8-11,107.0,107.0,99.04,99.04
2019-8-15,106.99,106.99,94.99,94.99
2019-8-19,94.59,94.77,91.77,94.77
2019-8-23,97.21,97.21,90.13,90.99
2019-8-27,93.49,93.49,91.16,92.04
2019-8-31,90.54,90.54,79.77,80.18
2019-9-3,79.86,81.66,79.63,81.66
2019-9-7,83.0,83.0,80.05,80.17
2019-9-11,83.82,87.55,82.98,82.98
2019-9-15,82.53,93.26,82.53,91.29
2019-9-19,88.78,97.62,88.78,97.62
2019-9-23,99.75,99.75,90.91,90.91
2019-9-27,86.79,86.79,68.62,68.62
2019-9-30,71.33,71.46,68.83,68.83
2019-10-3,70.59,70.59,70.42,70.42
2019-10-7,69.68,69.68,69.23,69.23
2019-10-11,70.77,73.9,70.66,72.49
2019-10-15,69.61,71.05,69.61,71.05
2019-10-19,71.38,71.38,67.93,67.93
2019-10-23,67.35,69.23,67.2,67.2
2019-10-27,62.7,70.41,62.5,70.41
2019-10-31,71.72,72.87,71.64,72.08
2019-11-3,71.75,72.22,71.75,72.22
2019-11-7,71.27,74.27,71.27,74.22
2019-11-11,72.22,72.22,69.37,71.43
2019-11-15,70.13,70.29,68.7,68.7
2019-11-19,68.01,68.01,64.32,64.32
2019-11-23,65.21,65.21,55.31,55.31
2019-11-27,54.61,54.61,50.0,50.17
2019-11-30,50.46,56.86,50.46,56.86
2019-12-3,55.03,55.03,51.58,51.58
2019-12-7,51.29,52.49,49.93,52.49
2019-12-11,52.3,52.3,49.92,49.92
2019-12-15,49.57,50.68,49.49,49.49
2019-12-19,50.68,50.68,41.24,44.39
2019-12-23,43.05,44.22,42.74,44.22
2019-12-27,42.93,42.93,40.01,40.01
2019-12-31,39.56,44.6,39.56,42.17
2020-1-3,41.14,41.78,39.97,39.97
2020-1-7,43.82,56.56,43.82,56.56
2020-1-11,54.69,56.7,50.48,56.7
2020-1-15,63.35,88.23,63.35,88.23
2020-1-19,132.03,132.03,101.26,101.26
2020-1-23,104.7,110.71,104.7,107.25
2020-1-27,102.18,110.95,100.55,110.95
2020-1-31,112.67,122.1,112.67,122.1
2020-2-3,115.07,116.38,114.32,114.32
2020-2-7,115.0,122.14,110.76,119.87
2020-2-11,118.38,127.76,118.38,127.76
2020-2-15,129.64,133.0,129.64,132.56
2020-2-19,120.39,120.39,112.22,115.55
2020-2-23,105.16,107.74,103.92,103.92
2020-2-27,107.9,107.9,84.69,84.69
2020-2-29,88.29,88.45,88.29,88.45
2020-3-3,85.61,90.01,85.29,90.01
