date,open,high,low,close
2020-8-19,2.94,2.94,2.94,2.94
2020-8-23,2.94,4.48,2.87,4.48
2020-8-27,3.97,6.07,3.97,6.07
2020-8-31,5.64,6.16,5.64,5.9
2020-9-3,6.3,6.3,6.16,6.16
2020-9-7,5.68,5.68,4.13,4.79
2020-9-11,4.59,4.7,4.28,4.58
2020-9-15,4.63,5.34,4.63,5.34
2020-9-19,5.11,5.32,5.08,5.24
2020-9-23,4.92,4.92,4.09,4.17
2020-9-27,4.02,4.41,4.02,4.34
2020-9-30,4.31,4.49,4.31,4.49
2020-10-3,4.35,4.35,4.12,4.12
2020-10-7,4.07,4.18,3.75,3.75
2020-10-11,3.85,4.26,3.85,4.25
2020-10-15,4.25,4.32,4.19,4.19
2020-10-19,4.09,4.11,3.9,4.11
2020-10-23,3.99,4.26,3.91,4.26
2020-10-27,4.26,4.69,4.26,4.69
2020-10-31,4.68,4.68,4.05,4.09
2020-11-3,4.18,4.2,4.02,4.02
2020-11-7,4.03,4.57,4.03,4.57
2020-11-11,4.24,4.41,4.24,4.41
2020-11-15,4.45,4.54,4.39,4.47
2020-11-19,4.37,4.83,4.37,4.69
2020-11-23,4.75,5.76,4.75,5.49
2020-11-27,5.9,5.9,4.8,4.8
2020-11-30,4.79,5.19,4.79,5.19
2020-12-3,5.35,5.48,5.1,5.48
2020-12-7,5.41,5.41,5.05,5.13
2020-12-11,5.06,5.06,4.74,4.8
2020-12-15,4.63,4.9,4.63,4.9
2020-12-19,5.26,5.36,5.26,5.36
2020-12-23,5.34,5.34,4.89,5.15
2020-12-27,4.74,5.21,4.74,5.21
2020-12-31,5.17,7.57,5.17,7.28
2021-1-3,9.36,9.36,8.31,9.22
2021-1-7,10.28,10.28,9.26,10.1
2021-1-11,9.65,9.78,9.31,9.33
2021-1-15,8.29,14.39,8.26,14.39
2021-1-19,13.2,18.28,13.2,16.42
2021-1-23,16.5,17.97,16.0,17.15
2021-1-27,18.6,18.6,17.11,17.11
2021-1-31,15.46,16.95,15.46,16.44
2021-2-3,16.14,17.25,16.14,17.25
2021-2-7,20.81,20.92,19.69,20.4
2021-2-11,19.69,23.53,19.69,23.53
2021-2-15,25.12,28.64,25.12,27.05
2021-2-19,27.69,31.93,27.69,31.16
2021-2-23,35.03,39.72,35.03,37.82
2021-2-27,34.39,34.39,31.19,31.37
2021-2-28,33.8,36.27,33.45,36.27
2021-3-7,37.08,37.08,33.49,33.49
2021-3-11,35.24,38.4,34.97,37.78
2021-3-15,36.88,37.32,35.71,36.73
2021-3-19,34.35,36.29,34.35,35.52
2021-3-23,38.22,38.22,35.52,35.52
2021-3-27,34.29,34.29,29.71,33.13
2021-3-31,32.62,34.33,32.17,33.93
2021-4-3,36.89,40.94,36.89,40.94
2021-4-7,41.7,45.61,41.7,43.42
2021-4-11,39.75,41.59,39.75,41.59
2021-4-15,41.38,43.22,40.56,42.5
2021-4-19,43.52,43.52,37.37,37.37
2021-4-23,34.82,35.41,33.24,33.24
2021-4-27,32.38,33.46,29.14,33.46
2021-4-30,34.54,35.78,33.99,35.78
2021-5-3,36.56,36.9,36.56,36.63
2021-5-7,37.31,41.52,34.66,41.52
2021-5-11,39.93,40.31,36.7,36.7
2021-5-15,38.63,47.33,35.37,47.33
2021-5-19,43.19,43.19,38.47,40.78
2021-5-23,25.55,25.55,25.55,25.55
