date,open,high,low,close
2017-7-27,1.87,1.92,1.65,1.92
2017-7-31,1.83,1.83,1.74,1.74
2017-8-3,1.78,1.78,1.76,1.78
2017-8-7,1.77,1.86,1.73,1.8
2017-8-11,1.86,1.86,1.72,1.72
2017-8-15,1.64,1.64,1.59,1.64
2017-8-19,1.59,1.59,1.43,1.43
2017-8-23,1.37,1.41,1.28,1.41
2017-8-27,1.37,1.37,1.34,1.34
2017-8-31,1.33,1.33,1.23,1.29
2017-9-3,1.3,1.3,1.23,1.25
2017-9-7,0.890658,0.956015,0.890658,0.956015
2017-9-11,0.833441,0.833441,0.731203,0.731203
2017-9-15,0.837672,0.837672,0.596997,0.658463
2017-9-19,0.650362,0.706721,0.644791,0.672722
2017-9-23,0.640189,0.640189,0.593089,0.61628
2017-9-27,0.59071,0.644068,0.59071,0.644068
2017-9-30,0.80112,0.80112,0.715362,0.720593
2017-10-3,0.705743,0.705743,0.654683,0.654683
2017-10-7,0.633176,0.633176,0.588294,0.588294
2017-10-11,0.606427,0.621162,0.558239,0.621162
2017-10-15,0.602981,0.602981,0.574292,0.574292
2017-10-19,0.566381,0.570366,0.549818,0.570366
2017-10-23,0.544755,0.544755,0.5024,0.5024
2017-10-27,0.523089,0.523089,0.511742,0.522449
2017-10-31,0.533636,0.773907,0.533636,0.773907
2017-11-3,1.04,1.22,1.04,1.22
2017-11-7,1.12,1.12,0.927139,0.949241
2017-11-11,1.13,1.18,1.04,1.15
2017-11-15,1.09,1.67,1.09,1.67
2017-11-19,1.62,1.93,1.62,1.87
2017-11-23,2.01,2.01,1.89,1.92
2017-11-27,1.88,2.86,1.88,2.86
2017-11-30,2.82,2.86,2.71,2.86
2017-12-3,3.23,3.96,3.23,3.63
2017-12-7,3.95,4.79,3.95,4.33
2017-12-11,4.33,4.38,3.8,4.38
2017-12-15,5.42,8.5,5.42,8.06
2017-12-19,8.5,11.57,8.13,11.57
2017-12-23,10.76,10.95,8.57,8.57
2017-12-27,8.1,8.87,8.07,8.87
2017-12-31,9.61,9.65,7.44,8.97
2018-1-3,7.67,10.09,7.67,10.09
2018-1-7,11.71,11.71,9.67,10.36
2018-1-11,9.91,12.35,9.59,12.35
2018-1-15,16.68,18.79,14.88,14.88
2018-1-19,11.07,12.64,11.07,12.64
2018-1-23,18.18,18.18,13.43,13.43
2018-1-27,14.85,15.05,14.76,14.76
2018-1-31,15.12,15.12,11.37,11.37
2018-2-3,12.17,12.17,9.71,9.71
2018-2-7,9.47,9.47,6.99,8.27
2018-2-11,7.48,9.2,7.48,9.03
2018-2-15,8.46,9.91,8.46,9.91
2018-2-19,10.07,10.07,9.29,9.29
2018-2-23,9.44,9.44,8.0,8.11
2018-2-27,8.5,8.5,7.77,8.03
