date,open,high,low,close
2018-2-3,8.03,8.14,8.03,8.14
2018-2-7,8.68,8.68,6.01,6.94
2018-2-11,7.06,7.31,6.36,6.36
2018-2-15,7.53,7.75,6.63,7.75
2018-2-19,9.31,9.36,9.13,9.21
2018-2-23,9.28,9.99,8.18,8.26
2018-2-27,9.14,9.14,6.98,7.23
2018-2-28,7.61,10.33,7.61,10.08
2018-3-7,10.84,11.03,10.09,10.09
2018-3-11,10.48,10.48,8.34,8.34
2018-3-15,9.71,11.13,7.7,7.7
2018-3-19,8.05,8.26,7.98,8.26
2018-3-23,8.24,8.24,7.23,7.23
2018-3-27,5.89,12.4,5.89,6.61
2018-3-31,5.87,7.14,5.87,6.25
2018-4-3,6.17,6.93,5.78,6.93
2018-4-7,5.97,5.97,4.76,5.31
2018-4-11,5.49,5.75,4.91,4.91
2018-4-15,5.34,7.14,5.34,6.65
2018-4-19,6.62,6.78,6.54,6.78
2018-4-23,7.01,7.01,6.48,6.48
2018-4-27,5.64,6.58,5.51,5.58
2018-4-30,5.69,6.46,5.69,6.2
2018-5-3,4.6,5.48,4.6,5.48
2018-5-7,5.25,5.25,5.25,5.25
2018-5-11,5.25,5.25,5.25,5.25
2018-5-15,5.25,5.84,5.25,5.84
2018-5-19,5.84,5.85,5.83,5.83
2018-5-23,6.58,6.58,4.73,4.73
2018-5-27,4.73,4.73,4.73,4.73
2018-5-31,4.73,4.73,4.59,4.59
2018-6-3,4.59,4.59,4.59,4.59
2018-6-7,4.59,4.59,4.54,4.54
2018-6-11,4.58,4.58,3.94,3.94
2018-6-15,3.78,3.78,3.32,3.61
2018-6-19,3.12,3.49,2.96,3.49
2018-6-23,3.44,3.57,3.24,3.24
2018-6-27,3.03,3.03,2.79,2.79
2018-6-30,3.1,3.45,2.95,3.45
2018-7-3,3.06,3.64,3.06,3.64
2018-7-7,3.87,3.87,3.04,3.29
2018-7-11,3.37,3.38,3.03,3.03
2018-7-15,2.83,2.9,2.69,2.78
2018-7-19,2.93,3.37,2.9,3.37
2018-7-23,3.06,3.12,2.72,2.72
2018-7-27,2.72,2.94,2.71,2.71
2018-7-31,2.82,2.97,2.72,2.76
2018-8-3,2.63,2.63,2.15,2.15
2018-8-7,1.92,2.03,1.79,1.79
2018-8-11,1.73,1.76,1.7,1.76
2018-8-15,1.81,2.08,1.81,1.9
2018-8-19,2.12,2.18,1.85,2.18
2018-8-23,2.23,2.4,1.92,2.4
2018-8-27,2.64,2.64,2.31,2.31
2018-8-31,2.62,2.62,2.47,2.47
2018-9-3,2.63,2.7,2.5,2.7
2018-9-7,2.52,2.88,2.21,2.21
2018-9-11,2.3,2.58,2.3,2.58
2018-9-15,2.51,2.85,2.51,2.62
2018-9-19,2.39,2.39,2.02,2.09
2018-9-23,2.43,2.52,2.4,2.4
2018-9-27,2.57,2.57,2.14,2.33
2018-9-30,2.29,2.29,2.18,2.18
2018-10-3,2.18,2.36,2.18,2.24
2018-10-7,2.12,2.35,2.12,2.35
2018-10-11,2.34,2.57,2.13,2.13
2018-10-15,1.88,1.92,1.81,1.92
2018-10-19,2.24,2.24,2.04,2.04
2018-10-23,2.03,2.07,1.71,1.71
2018-10-27,1.88,1.88,1.68,1.85
2018-10-31,1.8,2.06,1.77,1.83
2018-11-3,1.85,1.89,1.81,1.89
2018-11-7,1.86,1.92,1.85,1.92
