date,open,high,low,close
2017-7-27,15.88,15.88,14.67,14.67
2017-7-31,14.17,14.47,13.84,13.95
2017-8-3,14.5,15.38,14.5,15.38
2017-8-7,15.04,15.83,15.04,15.32
2017-8-11,15.9,15.9,15.15,15.15
2017-8-15,14.77,14.77,13.69,13.69
2017-8-19,14.15,14.23,13.74,13.74
2017-8-23,13.98,15.32,13.98,15.32
2017-8-27,15.2,16.05,15.2,16.05
2017-8-31,15.78,16.32,15.68,16.32
2017-9-3,21.72,21.72,18.77,18.77
2017-9-7,15.96,18.93,15.96,17.84
2017-9-11,15.13,15.13,13.58,14.58
2017-9-15,14.45,14.45,9.0,10.27
2017-9-19,9.93,11.79,9.93,11.53
2017-9-23,11.27,11.27,10.08,10.58
2017-9-27,10.46,12.69,10.46,12.69
2017-9-30,12.78,12.95,12.51,12.95
2017-10-3,12.75,12.75,12.32,12.32
2017-10-7,11.96,12.32,11.93,12.32
2017-10-11,12.11,12.11,11.49,11.49
2017-10-15,11.94,12.26,11.94,11.95
2017-10-19,11.88,11.92,11.35,11.35
2017-10-23,11.24,11.24,10.31,10.31
2017-10-27,10.6,10.67,10.39,10.39
2017-10-31,10.55,10.87,10.55,10.63
2017-11-3,10.25,12.4,10.05,12.4
2017-11-7,11.92,14.4,11.92,13.85
2017-11-11,14.03,19.07,14.03,19.07
2017-11-15,15.39,17.88,15.39,17.56
2017-11-19,16.89,17.96,16.89,17.96
2017-11-23,18.46,18.46,17.78,18.36
2017-11-27,21.76,26.0,21.76,26.0
2017-11-30,33.95,33.95,24.7,28.31
2017-12-3,30.85,30.85,30.35,30.35
2017-12-7,30.31,30.56,26.85,26.85
2017-12-11,29.68,29.68,26.56,27.46
2017-12-15,30.28,32.28,29.86,32.28
2017-12-19,34.69,40.41,34.69,40.41
2017-12-23,43.24,43.24,31.34,34.01
2017-12-27,28.23,30.23,28.23,28.8
2017-12-31,26.97,27.32,24.99,26.11
2018-1-3,30.1,37.0,30.1,37.0
2018-1-7,40.9,40.9,32.3,35.58
2018-1-11,35.21,40.06,33.69,33.69
2018-1-15,42.42,44.34,41.57,41.57
2018-1-19,30.03,31.57,30.03,31.57
2018-1-23,34.97,34.97,28.33,28.33
2018-1-27,29.23,29.23,28.18,28.23
2018-1-31,32.09,32.09,26.45,26.45
2018-2-3,27.99,27.99,23.12,23.12
2018-2-7,23.17,23.17,16.46,19.02
2018-2-11,18.16,25.34,18.16,24.1
2018-2-15,24.17,35.0,24.17,35.0
2018-2-19,34.0,34.4,33.35,33.35
2018-2-23,38.89,38.89,32.26,32.51
2018-2-27,37.58,37.72,35.64,35.64
2018-2-28,35.64,35.64,30.84,30.84
2018-3-7,28.73,29.49,24.65,24.65
2018-3-11,22.15,22.66,20.79,20.79
2018-3-15,21.22,21.22,17.21,17.21
2018-3-19,18.45,18.45,16.73,16.8
2018-3-23,19.46,19.97,19.46,19.59
2018-3-27,18.88,18.88,16.54,16.54
2018-3-31,16.05,16.14,14.51,14.51
2018-4-3,14.45,14.45,13.65,14.16
2018-4-7,15.21,15.21,13.19,13.19
2018-4-11,13.46,14.06,13.46,13.69
2018-4-15,14.57,16.11,14.57,15.95
2018-4-19,16.63,17.49,16.11,17.49
2018-4-23,18.28,19.21,18.28,18.53
2018-4-27,20.23,22.06,18.47,20.78
2018-4-30,20.41,21.44,20.41,21.44
2018-5-3,21.39,21.39,21.08,21.08
2018-5-7,22.79,25.16,22.02,25.16
2018-5-11,23.31,23.31,19.37,19.37
2018-5-15,17.7,18.65,17.7,18.65
2018-5-19,18.11,18.11,16.94,17.83
2018-5-23,17.48,17.9,16.44,16.44
2018-5-27,15.11,15.76,15.11,15.45
2018-5-31,15.32,15.32,14.34,15.32
2018-6-3,15.37,15.75,15.37,15.75
2018-6-7,16.1,16.1,15.26,15.26
2018-6-11,15.07,15.4,12.63,12.63
2018-6-15,12.92,14.9,12.92,14.06
2018-6-19,13.84,15.12,13.84,15.12
2018-6-23,15.55,17.47,14.74,14.74
2018-6-27,14.93,15.81,14.9,14.9
2018-6-30,15.4,15.4,14.67,15.28
2018-7-3,16.09,16.55,15.84,16.55
2018-7-7,16.1,18.27,16.1,18.27
2018-7-11,18.48,18.48,16.08,16.08
2018-7-15,16.41,16.41,16.28,16.37
2018-7-19,16.58,17.83,16.58,17.19
2018-7-23,17.29,17.29,16.06,16.16
2018-7-27,16.02,16.67,16.02,16.67
2018-7-31,16.93,17.18,16.87,17.18
2018-8-3,16.21,16.21,14.97,14.97
2018-8-7,16.54,18.68,16.43,18.68
2018-8-11,17.23,17.23,14.26,14.26
2018-8-15,13.14,13.17,11.63,11.63
2018-8-19,13.03,14.41,13.03,13.2
2018-8-23,13.29,13.29,12.17,12.17
2018-8-27,12.5,12.54,12.49,12.49
2018-8-31,12.69,13.25,12.69,12.88
2018-9-3,12.76,13.33,12.76,13.33
2018-9-7,14.05,14.05,11.94,11.98
2018-9-11,11.6,11.6,10.98,11.29
2018-9-15,11.2,11.2,10.68,11.0
