date,open,high,low,close
2017-7-27,224.91,224.91,200.33,203.19
2017-7-31,192.59,205.51,192.59,203.29
2017-8-3,227.08,227.08,219.06,224.87
2017-8-7,221.67,268.5,221.67,268.5
2017-8-11,295.15,306.83,295.15,306.83
2017-8-15,308.63,308.63,288.45,288.45
2017-8-19,300.04,300.57,296.11,296.62
2017-8-23,295.17,322.2,295.17,316.79
2017-8-27,321.79,343.34,321.79,343.34
2017-8-31,344.2,382.93,344.2,382.93
2017-9-3,386.34,386.34,346.4,349.93
2017-9-7,299.72,333.21,299.72,329.42
2017-9-11,304.48,304.48,292.78,296.48
2017-9-15,290.59,290.59,214.31,246.92
2017-9-19,244.81,287.96,244.81,280.45
2017-9-23,279.42,283.22,257.47,283.22
2017-9-27,280.68,302.15,280.68,302.15
2017-9-30,294.31,297.27,288.11,297.27
2017-10-3,299.67,299.67,292.21,292.21
2017-10-7,293.04,309.6,293.04,309.6
2017-10-11,307.06,307.06,295.9,303.25
2017-10-15,302.02,337.95,302.02,335.39
2017-10-19,331.97,331.97,308.47,308.47
2017-10-23,302.36,302.36,289.41,289.41
2017-10-27,298.76,298.76,295.71,297.93
2017-10-31,296.46,306.25,296.46,303.54
2017-11-3,292.33,305.84,287.07,305.84
2017-11-7,299.95,301.37,295.24,295.24
2017-11-11,308.93,322.33,301.35,316.26
2017-11-15,314.17,338.94,314.17,334.29
2017-11-19,330.02,353.44,330.02,353.44
2017-11-23,365.79,412.56,361.06,412.56
2017-11-27,475.0,484.36,467.45,484.36
2017-11-30,474.18,474.18,428.35,454.16
2017-12-3,469.86,469.86,461.88,461.88
2017-12-7,472.25,472.25,448.33,451.83
2017-12-11,467.88,509.0,446.69,509.0
2017-12-15,661.84,709.88,661.84,693.1
2017-12-19,702.24,829.99,702.24,829.99
2017-12-23,813.4,813.4,669.28,715.72
2017-12-27,686.21,774.11,686.21,764.97
2017-12-31,736.84,774.7,736.84,774.7
2018-1-3,776.08,963.06,776.08,963.06
2018-1-7,978.42,1137.65,978.42,1137.65
2018-1-11,1184.92,1361.44,1181.65,1181.65
2018-1-15,1315.62,1448.18,1315.62,1329.67
2018-1-19,1068.6,1068.6,1022.37,1046.9
2018-1-23,1172.92,1172.92,991.67,991.67
2018-1-27,1056.88,1095.78,1048.8,1095.78
2018-1-31,1237.32,1237.32,1058.1,1058.1
2018-2-3,1106.14,1106.14,914.64,914.64
2018-2-7,941.8,941.8,684.31,785.74
2018-2-11,751.89,871.33,751.89,854.35
2018-2-15,817.29,915.08,817.29,915.08
2018-2-19,928.29,964.28,915.09,915.09
2018-2-23,928.29,928.29,809.13,812.45
2018-2-27,864.67,864.67,828.72,863.65
2018-2-28,869.26,869.26,846.37,850.44
2018-3-7,844.26,844.26,808.45,808.45
2018-3-11,752.59,752.59,684.93,684.93
2018-3-15,713.2,713.2,608.39,608.39
2018-3-19,612.44,612.44,538.69,538.69
2018-3-23,555.08,561.15,537.71,537.71
2018-3-27,538.11,538.11,487.54,487.54
2018-3-31,449.05,449.05,385.33,395.33
2018-4-3,395.8,395.8,379.12,384.83
2018-4-7,415.72,415.72,369.91,369.91
2018-4-11,383.45,412.69,383.45,412.69
2018-4-15,427.38,495.11,427.38,495.11
2018-4-19,525.53,525.53,498.47,517.37
2018-4-23,566.39,617.2,566.39,617.2
2018-4-27,636.37,705.03,613.73,657.06
2018-4-30,641.99,680.12,641.99,680.12
2018-5-3,662.73,676.55,662.73,676.55
2018-5-7,781.43,807.07,777.91,785.89
2018-5-11,748.81,748.81,717.41,717.41
2018-5-15,675.29,727.8,675.29,727.8
2018-5-19,703.16,703.16,665.63,686.21
2018-5-23,685.85,703.81,641.1,641.1
2018-5-27,581.24,597.85,580.48,580.48
2018-5-31,565.93,565.93,511.62,555.35
2018-6-3,571.73,583.13,571.73,583.13
2018-6-7,609.29,609.29,586.58,598.22
2018-6-11,595.13,595.13,523.0,523.0
2018-6-15,529.13,529.13,474.86,516.64
2018-6-19,485.43,512.43,485.43,512.43
2018-6-23,532.0,532.0,463.94,463.94
2018-6-27,472.98,472.98,430.6,430.6
2018-6-30,437.88,437.88,420.86,432.51
2018-7-3,449.43,472.31,447.68,472.31
2018-7-7,459.7,467.59,459.7,467.59
2018-7-11,481.52,483.8,431.76,431.76
2018-7-15,443.03,443.03,427.79,431.78
2018-7-19,446.61,497.18,446.61,475.99
2018-7-23,464.79,464.79,447.2,455.53
2018-7-27,447.92,477.21,447.92,460.87
2018-7-31,467.96,467.96,458.08,458.08
2018-8-3,432.35,432.35,410.93,410.93
2018-8-7,417.36,417.36,404.82,404.82
2018-8-11,377.75,377.75,332.49,332.49
2018-8-15,317.31,317.96,277.75,277.75
2018-8-19,281.14,314.79,281.14,293.18
2018-8-23,299.44,299.44,269.25,269.25
2018-8-27,275.81,281.73,273.5,273.5
2018-8-31,286.96,296.3,285.1,285.1
2018-9-3,282.22,295.65,282.22,294.59
2018-9-7,288.85,288.85,229.37,229.37
2018-9-11,215.43,215.43,195.88,196.36
2018-9-15,184.08,211.83,182.95,211.38
2018-9-19,223.05,223.05,196.58,210.15
2018-9-23,209.14,247.41,209.14,241.84
2018-9-27,244.78,244.78,214.98,214.98
2018-9-30,229.22,231.74,222.23,231.74
2018-10-3,232.78,232.78,225.79,225.79
2018-10-7,220.47,228.04,220.47,225.07
2018-10-11,225.66,229.52,225.66,225.66
2018-10-15,192.0,201.05,192.0,196.32
2018-10-19,212.2,212.44,204.31,204.31
2018-10-23,203.98,206.88,203.98,205.04
2018-10-27,204.08,204.08,202.35,203.38
2018-10-31,203.19,204.72,195.75,197.45
2018-11-3,198.64,202.28,198.64,202.28
2018-11-7,200.14,219.16,200.14,219.16
2018-11-11,219.02,219.02,210.79,212.97
2018-11-15,212.47,212.47,184.02,184.02
2018-11-19,182.45,182.45,175.67,177.73
2018-11-23,150.39,150.39,126.07,126.07
2018-11-27,124.15,124.15,109.43,109.43
2018-11-30,110.43,122.45,110.43,117.71
2018-12-3,113.4,118.1,113.4,115.94
2018-12-7,108.68,109.85,91.1,91.1
2018-12-11,92.97,93.53,89.85,89.85
2018-12-15,87.85,89.38,83.79,83.79
2018-12-19,83.83,100.05,83.83,100.05
2018-12-23,99.49,115.05,99.49,115.05
2018-12-27,129.21,138.96,127.64,129.51
2018-12-31,114.1,138.75,114.1,137.63
2019-1-3,131.46,152.86,131.46,152.86
2019-1-7,146.73,154.7,146.73,154.7
2019-1-11,149.9,149.9,126.62,126.62
2019-1-15,124.63,127.41,114.77,127.41
2019-1-19,119.81,122.25,119.17,119.17
2019-1-23,122.93,122.93,115.83,117.82
2019-1-27,116.42,116.42,115.15,115.34
2019-1-31,112.51,112.51,104.6,108.27
2019-2-3,106.34,108.78,106.34,108.78
2019-2-7,107.2,107.62,104.62,104.62
2019-2-11,104.27,124.89,104.27,124.89
2019-2-15,120.97,122.54,120.59,120.59
2019-2-19,121.57,145.33,121.57,145.33
2019-2-23,143.66,148.87,143.66,148.04
2019-2-27,157.68,157.68,134.32,136.0
2019-2-28,134.85,135.49,132.41,132.41
2019-3-7,130.54,137.33,125.62,137.33
2019-3-11,136.79,137.2,133.54,135.62
2019-3-15,132.39,133.29,131.67,132.15
2019-3-19,136.45,141.09,136.45,137.66
2019-3-23,138.52,139.08,135.06,136.1
2019-3-27,137.2,137.2,133.82,134.03
2019-3-31,139.64,143.15,137.81,142.29
2019-4-3,141.59,164.05,141.51,164.05
2019-4-7,160.43,165.33,157.41,165.33
2019-4-11,174.09,180.01,174.09,177.33
2019-4-15,165.04,167.62,163.97,167.62
2019-4-19,160.53,173.41,160.53,173.41
2019-4-23,173.23,173.23,169.99,171.04
2019-4-27,170.91,170.91,153.93,157.38
2019-4-30,158.29,158.29,154.08,154.08
2019-5-3,160.74,160.96,159.49,160.96
2019-5-7,166.63,172.83,162.37,172.83
2019-5-11,170.1,172.68,170.1,172.68
2019-5-15,196.69,218.28,187.27,218.28
2019-5-19,248.75,264.9,235.33,235.33
2019-5-23,260.6,260.6,244.55,244.55
2019-5-27,244.65,266.12,244.65,266.12
2019-5-31,273.41,273.41,255.38,255.38
2019-6-3,268.13,269.94,264.73,269.94
2019-6-7,251.75,251.75,240.24,249.97
2019-6-11,250.64,250.64,232.04,247.25
2019-6-15,245.09,263.93,245.09,263.93
2019-6-19,268.11,273.12,264.79,264.79
2019-6-23,269.15,310.65,269.15,310.65
2019-6-27,307.95,337.34,307.95,337.34
2019-6-30,295.84,321.43,295.84,321.43
2019-7-3,292.84,295.26,290.96,290.96
2019-7-7,304.17,304.17,285.22,289.58
2019-7-11,305.34,312.47,290.01,290.01
2019-7-15,268.64,275.81,227.12,227.12
2019-7-19,230.18,230.18,199.94,226.3
2019-7-23,221.11,228.96,217.65,217.65
2019-7-27,213.5,219.58,213.5,219.58
2019-7-31,206.53,211.23,206.53,209.65
2019-8-3,218.61,218.61,216.63,217.8
2019-8-7,221.42,232.82,221.42,227.02
2019-8-11,226.4,226.4,206.5,206.5
2019-8-15,216.49,216.49,185.66,185.66
2019-8-19,188.15,194.36,185.15,194.36
2019-8-23,202.96,202.96,187.02,191.52
2019-8-27,194.21,194.21,186.32,188.38
2019-8-31,186.97,186.97,168.67,168.67
2019-9-3,172.07,177.72,170.73,177.72
2019-9-7,178.83,178.83,169.42,169.42
2019-9-11,177.85,181.48,177.85,180.15
2019-9-15,178.08,188.31,178.08,188.31
2019-9-19,189.26,210.25,189.26,210.25
2019-9-23,221.74,221.74,211.62,211.62
2019-9-27,201.0,201.0,166.22,166.22
2019-9-30,173.9,174.08,169.69,169.69
2019-10-3,179.76,180.63,179.76,180.58
2019-10-7,176.86,176.86,170.45,170.45
2019-10-11,180.14,193.34,180.14,191.04
2019-10-15,180.55,186.62,179.95,186.62
2019-10-19,180.75,180.75,172.89,172.89
2019-10-23,171.85,175.21,171.43,171.43
2019-10-27,161.58,181.45,160.68,179.54
2019-10-31,183.58,190.51,181.86,183.13
2019-11-3,182.76,183.22,182.76,183.22
2019-11-7,181.82,191.3,181.82,191.3
2019-11-11,186.82,189.04,183.67,189.04
2019-11-15,184.84,187.84,184.79,184.79
2019-11-19,180.17,183.99,178.39,178.39
