date,open,high,low,close
2020-10-15,61.04,61.04,61.04,61.04
2020-10-19,61.04,61.04,32.71,32.71
2020-10-23,33.87,33.87,23.73,23.73
2020-10-27,24.7,38.96,24.7,33.63
2020-10-31,35.24,35.24,29.23,29.23
2020-11-3,31.07,31.59,29.72,29.72
2020-11-7,28.86,31.68,28.86,31.68
2020-11-11,29.92,31.28,29.92,30.36
2020-11-15,30.07,30.07,29.18,29.31
2020-11-19,27.75,29.05,27.47,28.88
2020-11-23,28.84,29.84,28.84,28.97
2020-11-27,29.15,31.08,29.15,29.86
2020-11-30,29.96,29.97,29.93,29.97
2020-12-3,30.29,30.64,30.22,30.64
2020-12-7,30.45,30.45,29.11,29.31
2020-12-11,30.54,30.58,29.96,30.58
2020-12-15,29.92,30.08,29.38,29.38
2020-12-19,29.14,29.14,28.43,28.48
2020-12-23,28.29,28.43,24.66,24.66
2020-12-27,22.39,24.2,22.39,23.61
2020-12-31,22.27,22.27,20.41,21.67
2021-1-3,24.33,24.33,21.83,21.83
2021-1-7,21.58,21.97,20.97,21.97
2021-1-11,22.14,23.58,21.67,23.58
2021-1-15,21.57,21.72,21.13,21.6
2021-1-19,21.56,24.29,21.56,23.68
2021-1-23,22.68,22.68,21.26,22.29
2021-1-27,22.69,22.74,22.19,22.19
2021-1-31,21.49,22.26,21.49,22.0
2021-2-3,22.23,22.55,22.23,22.48
2021-2-7,23.07,24.57,22.92,24.28
2021-2-11,23.99,43.36,23.99,39.83
2021-2-15,40.16,47.48,40.16,47.48
2021-2-19,42.82,43.47,41.95,43.47
2021-2-23,43.25,44.91,39.68,39.68
2021-2-27,35.51,36.63,34.72,35.26
2021-2-28,38.45,38.46,35.91,38.31
2021-3-7,42.25,42.25,40.53,40.53
2021-3-11,41.57,42.57,41.57,42.57
2021-3-15,42.22,54.56,42.22,54.56
2021-3-19,53.16,89.7,53.16,79.57
2021-3-23,83.51,83.51,76.59,76.59
2021-3-27,82.97,125.38,82.97,125.38
2021-3-31,132.55,149.85,125.43,149.85
2021-4-3,189.58,189.58,171.21,171.21
2021-4-7,177.3,183.2,165.84,165.84
2021-4-11,156.19,174.48,154.77,174.48
2021-4-15,178.56,178.56,164.61,167.72
2021-4-19,170.99,182.43,156.49,156.49
2021-4-23,154.36,154.36,146.73,146.73
2021-4-27,139.32,154.56,133.14,154.56
2021-4-30,151.65,151.65,149.71,149.71
2021-5-3,164.0,164.46,162.81,162.81
2021-5-7,160.33,160.33,139.51,153.35
2021-5-11,150.72,150.72,135.57,135.57
2021-5-15,142.86,142.86,117.86,120.05
2021-5-19,109.98,109.98,99.32,100.58
2021-5-23,65.99,65.99,65.99,65.99
