date,open,high,low,close
2017-7-27,44.69,44.69,41.8,42.01
2017-7-31,40.61,43.26,40.34,43.26
2017-8-3,43.09,43.09,41.97,42.75
2017-8-7,43.41,46.81,43.41,45.62
2017-8-11,48.68,48.68,46.45,46.51
2017-8-15,46.05,46.05,43.18,43.18
2017-8-19,43.86,46.03,43.83,45.92
2017-8-23,46.31,53.34,46.27,53.34
2017-8-27,49.37,60.57,49.37,60.57
2017-8-31,61.78,72.07,61.78,72.07
2017-9-3,85.75,85.75,78.6,78.61
2017-9-7,67.71,80.33,67.71,79.07
2017-9-11,72.45,72.45,65.73,67.48
2017-9-15,64.74,64.74,41.98,48.41
2017-9-19,48.64,53.67,48.64,51.95
2017-9-23,50.28,50.28,46.31,48.62
2017-9-27,47.01,55.25,47.01,55.25
2017-9-30,53.23,54.38,51.79,54.38
2017-10-3,53.99,53.99,52.07,52.07
2017-10-7,51.4,52.21,51.4,52.21
2017-10-11,52.95,52.95,49.72,50.71
2017-10-15,59.33,65.3,59.21,65.3
2017-10-19,64.5,64.5,59.81,59.81
2017-10-23,59.97,59.97,54.88,54.88
2017-10-27,55.84,56.26,55.26,55.26
2017-10-31,54.43,56.85,54.43,54.95
2017-11-3,53.18,56.21,53.18,56.21
2017-11-7,55.04,61.47,54.96,61.47
2017-11-11,62.52,64.54,59.37,62.61
2017-11-15,58.92,63.89,58.92,63.89
2017-11-19,71.43,71.45,67.91,71.45
2017-11-23,72.27,73.97,70.02,73.97
2017-11-27,77.82,92.0,77.82,92.0
2017-11-30,97.47,97.47,85.84,90.52
2017-12-3,99.62,101.34,99.62,101.04
2017-12-7,103.46,105.5,97.67,102.93
2017-12-11,126.39,218.51,126.39,218.51
2017-12-15,320.91,320.91,277.66,303.11
2017-12-19,300.81,360.66,300.81,355.5
2017-12-23,310.15,315.15,261.53,288.08
2017-12-27,278.46,294.99,270.87,271.54
2017-12-31,254.04,254.04,223.4,237.57
2018-1-3,230.46,255.05,230.46,248.04
2018-1-7,244.83,289.93,244.83,278.98
2018-1-11,263.75,263.75,233.34,233.34
2018-1-15,246.19,268.37,241.15,241.15
2018-1-19,189.47,194.76,188.94,194.58
2018-1-23,214.41,214.41,178.04,178.04
2018-1-27,178.97,179.65,175.06,179.65
2018-1-31,191.93,191.93,163.53,163.53
2018-2-3,161.41,161.41,131.38,131.38
2018-2-7,154.26,154.26,122.64,142.44
2018-2-11,137.92,161.69,137.92,154.92
2018-2-15,151.26,213.36,151.26,213.36
2018-2-19,222.37,230.52,215.04,215.04
2018-2-23,221.24,238.1,195.01,196.24
2018-2-27,210.59,222.09,205.44,222.09
2018-2-28,216.56,216.56,202.56,207.33
2018-3-7,208.9,209.13,196.16,196.16
