date,open,high,low,close
2017-7-27,8.41,8.41,7.18,7.82
2017-7-31,7.11,7.29,7.11,7.28
2017-8-3,7.9,10.68,7.9,10.68
2017-8-7,10.4,15.62,10.4,15.62
2017-8-11,33.87,33.87,33.87,33.87
2017-8-15,37.07,47.9,37.07,47.9
2017-8-19,44.39,44.39,39.39,39.57
2017-8-23,37.64,39.72,34.81,39.72
2017-8-27,40.84,40.84,36.3,38.17
2017-8-31,37.13,37.13,32.09,33.1
2017-9-3,31.86,31.86,30.76,30.96
2017-9-7,23.02,30.84,21.52,30.84
2017-9-11,25.75,25.75,21.67,21.67
2017-9-15,20.87,20.87,15.1,18.17
2017-9-19,20.13,20.9,19.27,20.16
2017-9-23,19.62,20.03,17.45,20.03
2017-9-27,19.73,31.41,19.73,31.41
2017-9-30,29.39,33.98,28.37,33.98
2017-10-3,35.47,36.57,33.56,33.56
2017-10-7,31.22,35.82,31.22,35.82
2017-10-11,31.95,31.95,29.04,30.05
2017-10-15,27.78,29.54,27.11,27.76
2017-10-19,28.24,31.55,28.24,28.62
2017-10-23,27.5,28.88,27.17,27.72
2017-10-27,30.2,30.2,28.1,29.14
2017-10-31,27.33,28.57,27.33,28.31
2017-11-3,26.9,26.9,24.57,26.89
2017-11-7,26.38,26.76,26.3,26.3
2017-11-11,30.66,32.02,28.39,28.48
2017-11-15,26.8,29.71,26.8,29.63
2017-11-19,28.62,42.55,28.62,39.47
2017-11-23,36.6,36.6,34.76,35.61
2017-11-27,35.14,40.43,35.14,40.43
2017-11-30,38.91,38.91,32.51,33.6
2017-12-3,36.17,37.04,35.72,37.04
2017-12-7,42.39,42.39,35.87,37.31
2017-12-11,37.53,37.53,33.45,36.22
2017-12-15,40.69,51.81,40.69,48.91
2017-12-19,50.32,78.12,50.32,72.74
2017-12-23,77.54,77.54,56.66,62.74
2017-12-27,61.5,70.69,61.5,70.69
2017-12-31,68.75,80.81,68.75,80.81
2018-1-3,82.92,106.31,82.92,106.31
2018-1-7,103.56,106.74,101.89,106.07
2018-1-11,106.83,135.05,106.83,113.21
2018-1-15,131.27,198.38,131.27,198.38
2018-1-19,148.02,148.02,142.39,142.39
2018-1-23,155.12,155.12,122.24,122.24
2018-1-27,136.2,139.89,136.2,139.89
2018-1-31,150.7,165.3,141.73,141.73
2018-2-3,143.49,143.49,121.2,121.2
2018-2-7,121.17,121.17,81.76,106.73
2018-2-11,101.39,114.4,101.39,107.77
2018-2-15,103.22,121.7,103.22,121.7
2018-2-19,121.75,135.96,121.75,125.78
2018-2-23,135.81,135.81,112.82,113.36
2018-2-27,121.03,132.92,115.87,132.92
2018-2-28,141.43,141.43,125.36,125.36
2018-3-7,121.57,121.57,104.52,104.52
2018-3-11,100.67,100.67,85.95,85.95
2018-3-15,90.0,90.0,72.76,72.76
2018-3-19,70.33,70.33,63.08,65.58
2018-3-23,71.9,75.43,69.65,69.65
2018-3-27,68.81,68.81,59.91,59.91
2018-3-31,55.85,57.12,50.7,50.7
2018-4-3,50.35,50.35,47.6,49.04
2018-4-7,53.9,53.9,45.16,45.16
2018-4-11,46.44,53.1,46.44,52.69
2018-4-15,58.41,66.18,58.41,63.21
2018-4-19,69.89,72.56,65.58,72.56
2018-4-23,74.15,76.83,73.67,73.67
2018-4-27,76.01,83.3,71.08,76.92
2018-4-30,72.58,90.3,72.58,90.3
2018-5-3,84.04,84.2,84.02,84.2
2018-5-7,87.74,87.74,83.39,83.39
2018-5-11,79.0,79.0,69.66,69.66
2018-5-15,63.59,67.66,63.59,66.52
2018-5-19,63.16,63.16,57.84,59.51
2018-5-23,58.8,63.17,57.42,57.42
2018-5-27,52.55,54.9,52.15,52.15
2018-5-31,52.74,52.74,47.99,51.52
2018-6-3,52.92,56.48,52.92,56.48
2018-6-7,55.97,55.97,53.39,53.61
2018-6-11,53.07,53.07,45.48,45.48
2018-6-15,45.73,45.73,38.19,40.74
2018-6-19,38.09,39.36,37.92,39.36
2018-6-23,39.73,39.73,33.3,33.3
2018-6-27,34.0,34.0,30.06,30.06
2018-6-30,30.27,30.27,28.35,29.53
2018-7-3,30.72,36.03,30.72,36.03
2018-7-7,35.82,40.43,35.82,37.62
2018-7-11,38.59,39.04,33.43,33.43
2018-7-15,33.85,33.85,31.89,32.52
2018-7-19,33.46,39.22,33.46,37.5
2018-7-23,35.87,35.87,33.17,33.17
2018-7-27,32.22,34.05,32.22,33.17
2018-7-31,33.3,33.6,32.13,32.13
2018-8-3,29.79,29.79,28.19,28.19
2018-8-7,27.94,27.94,26.1,26.1
2018-8-11,25.12,25.12,19.79,19.79
2018-8-15,18.38,18.4,15.89,15.89
2018-8-19,15.72,20.42,15.72,18.64
2018-8-23,19.5,19.5,16.48,16.48
2018-8-27,17.69,17.81,17.51,17.51
2018-8-31,20.64,21.32,19.52,19.52
2018-9-3,20.16,22.61,20.16,22.05
2018-9-7,22.91,24.21,19.55,20.35
2018-9-11,19.48,19.48,17.91,18.46
2018-9-15,17.64,18.24,17.61,17.86
2018-9-19,18.16,18.16,16.55,16.96
2018-9-23,17.1,19.82,17.1,18.92
2018-9-27,19.6,19.6,17.8,17.8
2018-9-30,19.04,19.28,19.04,19.21
2018-10-3,18.91,18.91,18.47,18.47
2018-10-7,17.98,18.19,17.92,17.92
2018-10-11,18.14,18.53,18.14,18.23
2018-10-15,15.56,15.94,15.56,15.78
2018-10-19,16.51,17.03,16.51,16.71
2018-10-23,16.65,16.93,16.65,16.93
2018-10-27,16.7,16.78,16.26,16.26
2018-10-31,16.08,16.21,15.26,15.26
2018-11-3,15.45,16.29,15.45,16.29
2018-11-7,16.0,17.02,16.0,17.02
2018-11-11,16.8,16.8,15.99,15.99
2018-11-15,16.0,16.0,13.7,13.7
2018-11-19,13.15,13.15,12.52,12.59
2018-11-23,10.24,10.24,8.37,8.37
2018-11-27,8.67,8.67,7.22,7.22
2018-11-30,7.31,8.44,7.31,8.44
2018-12-3,7.7,8.16,7.7,7.92
2018-12-7,7.38,7.59,6.06,6.06
2018-12-11,6.07,6.3,5.94,6.02
2018-12-15,5.8,5.95,5.63,5.63
2018-12-19,5.61,6.71,5.61,6.71
2018-12-23,6.59,7.15,6.59,6.99
2018-12-27,7.55,8.37,7.5,7.73
2018-12-31,6.79,7.95,6.79,7.95
2019-1-3,7.38,7.92,7.38,7.92
2019-1-7,7.53,8.5,7.51,8.5
2019-1-11,8.36,9.04,7.82,7.82
2019-1-15,7.77,7.77,7.02,7.77
2019-1-19,7.42,7.67,7.42,7.52
2019-1-23,7.92,7.92,7.42,7.6
2019-1-27,7.46,7.63,7.43,7.43
2019-1-31,7.36,7.36,6.9,7.06
2019-2-3,6.87,7.15,6.87,7.15
2019-2-7,6.99,7.07,6.87,6.87
2019-2-11,6.91,7.94,6.91,7.94
2019-2-15,8.11,8.25,7.89,7.89
2019-2-19,8.08,8.77,7.89,8.77
2019-2-23,8.9,9.11,8.58,8.71
2019-2-27,10.11,10.11,9.03,9.03
2019-2-28,8.87,8.96,8.7,8.7
2019-3-7,8.63,8.73,8.18,8.7
2019-3-11,9.16,9.16,8.76,8.8
2019-3-15,8.68,9.27,8.68,9.27
2019-3-19,9.23,9.41,9.11,9.11
2019-3-23,9.19,9.31,8.93,9.15
2019-3-27,9.36,9.36,8.83,8.83
2019-3-31,9.29,9.94,9.18,9.94
2019-4-3,10.09,11.56,10.04,11.56
2019-4-7,12.29,13.45,12.29,13.06
2019-4-11,12.89,12.89,12.14,12.45
2019-4-15,11.24,11.3,11.07,11.29
2019-4-19,10.72,11.25,10.72,11.25
2019-4-23,11.06,11.06,10.56,10.83
2019-4-27,10.36,10.36,9.48,9.48
2019-4-30,9.5,9.5,9.27,9.41
2019-5-3,9.68,9.8,9.67,9.8
2019-5-7,9.88,9.88,9.14,9.14
2019-5-11,8.94,9.0,8.6,8.77
2019-5-15,9.99,11.05,9.29,11.05
2019-5-19,12.89,12.89,10.76,10.76
2019-5-23,11.7,12.18,11.23,11.23
2019-5-27,11.36,11.93,11.36,11.93
2019-5-31,12.49,13.6,12.49,12.62
2019-6-3,13.59,14.11,13.59,14.11
2019-6-7,12.59,12.59,11.41,11.73
2019-6-11,12.29,12.32,11.54,12.32
2019-6-15,12.29,13.46,12.29,13.46
2019-6-19,13.95,14.18,13.67,13.67
2019-6-23,13.78,17.49,13.59,17.49
2019-6-27,16.78,19.5,16.78,19.21
2019-6-30,17.07,18.56,17.07,18.56
2019-7-3,16.84,17.76,16.84,17.76
2019-7-7,17.96,17.96,16.91,16.91
2019-7-11,17.22,17.58,16.25,16.25
2019-7-15,14.61,15.4,12.0,12.0
2019-7-19,12.33,13.05,10.29,13.05
2019-7-23,13.03,13.44,12.07,12.07
2019-7-27,11.32,11.99,11.32,11.99
2019-7-31,11.32,11.32,11.22,11.22
2019-8-3,11.73,11.78,11.67,11.67
2019-8-7,12.0,12.01,11.39,11.39
2019-8-11,11.34,11.34,10.38,10.6
2019-8-15,11.11,11.11,9.37,9.37
2019-8-19,9.93,9.93,9.67,9.86
2019-8-23,10.15,10.15,9.43,9.82
2019-8-27,9.88,10.1,9.65,9.82
2019-8-31,9.57,9.57,8.75,8.76
2019-9-3,8.8,9.1,8.77,9.1
2019-9-7,9.29,9.29,8.72,8.72
2019-9-11,9.07,9.27,8.86,8.86
2019-9-15,8.8,9.11,8.8,9.11
2019-9-19,9.07,10.12,9.07,10.12
2019-9-23,9.73,9.73,9.09,9.09
2019-9-27,8.62,8.62,7.18,7.18
2019-9-30,7.32,7.33,7.14,7.14
2019-10-3,7.58,7.63,7.58,7.63
2019-10-7,7.44,7.44,7.15,7.15
2019-10-11,7.45,7.75,7.45,7.48
2019-10-15,7.22,7.42,7.22,7.42
2019-10-19,7.36,7.36,7.0,7.12
2019-10-23,7.11,7.4,7.11,7.27
2019-10-27,6.91,9.08,6.91,9.08
2019-10-31,11.48,11.48,10.74,11.2
2019-11-3,10.56,10.99,10.56,10.99
2019-11-7,11.02,11.41,11.02,11.07
2019-11-11,11.14,11.14,10.62,11.02
2019-11-15,11.14,13.15,11.14,12.62
2019-11-19,12.03,12.4,11.34,11.34
2019-11-23,11.68,11.68,9.69,9.69
2019-11-27,10.02,10.02,9.02,9.27
2019-11-30,9.46,9.71,9.28,9.71
2019-12-3,9.32,9.32,8.97,8.97
2019-12-7,8.95,8.95,8.65,8.75
2019-12-11,8.91,9.02,8.56,8.56
2019-12-15,8.52,8.89,8.52,8.81
2019-12-19,8.9,8.9,7.87,8.79
2019-12-23,8.59,8.9,8.5,8.9
2019-12-27,8.55,8.68,8.53,8.53
2019-12-31,8.73,9.21,8.73,8.93
2020-1-3,8.68,8.85,8.48,8.48
2020-1-7,8.85,9.74,8.85,9.74
2020-1-11,9.8,9.87,9.38,9.87
2020-1-15,9.67,11.21,9.67,11.21
2020-1-19,11.41,11.87,11.26,11.87
2020-1-23,11.19,11.22,11.15,11.22
2020-1-27,10.6,10.77,10.36,10.77
2020-1-31,11.08,11.73,11.08,11.73
2020-2-3,11.43,12.03,11.4,12.03
2020-2-7,11.89,12.88,11.89,12.88
2020-2-11,12.79,14.03,12.68,13.59
2020-2-15,13.81,16.64,13.81,16.64
2020-2-19,14.96,15.43,14.77,15.43
2020-2-23,14.05,14.08,13.74,13.74
2020-2-27,14.3,14.3,11.0,11.0
2020-2-29,11.4,11.4,11.33,11.33
2020-3-3,11.13,12.05,11.13,12.05
2020-3-7,11.61,12.35,11.61,12.35
2020-3-11,11.62,11.62,9.88,9.88
2020-3-15,9.45,9.45,5.71,5.75
2020-3-19,5.99,5.99,5.4,5.68
2020-3-23,6.49,6.49,5.94,5.94
2020-3-27,6.63,7.04,6.63,7.04
2020-3-31,6.58,6.64,6.2,6.62
2020-4-3,6.8,7.01,6.8,7.01
2020-4-7,7.01,7.82,7.01,7.82
2020-4-11,7.72,8.03,7.29,7.29
2020-4-15,7.3,7.4,7.26,7.26
2020-4-19,6.99,7.88,6.99,7.88
2020-4-23,7.61,7.61,7.22,7.53
2020-4-27,7.78,8.63,7.78,8.63
2020-4-30,8.43,9.21,8.43,9.21
2020-5-3,8.87,9.21,8.87,9.21
2020-5-7,9.07,9.17,9.02,9.17
2020-5-11,9.9,11.33,9.74,9.74
2020-5-15,9.64,10.3,9.64,10.19
2020-5-19,10.0,10.23,10.0,10.23
2020-5-23,10.3,10.3,9.55,10.22
2020-5-27,10.19,10.19,9.67,9.91
2020-5-31,10.0,11.05,10.0,11.05
2020-6-3,10.94,12.5,10.94,12.11
2020-6-7,12.34,12.34,11.8,11.8
2020-6-11,11.76,12.04,11.64,11.93
2020-6-15,10.79,11.08,10.62,10.62
