date,open,high,low,close
2020-4-11,0.957606,0.957606,0.957606,0.957606
2020-4-15,0.784711,0.875994,0.666673,0.666673
2020-4-19,0.637621,0.692333,0.637621,0.676972
2020-4-23,0.609436,0.684887,0.53479,0.684887
2020-4-27,0.621703,0.64709,0.621703,0.639863
2020-4-30,0.568315,0.741189,0.568315,0.741189
2020-5-3,0.69309,0.716954,0.69309,0.712438
2020-5-7,0.68661,0.68661,0.6194,0.6194
2020-5-11,0.60894,0.60894,0.541778,0.541778
2020-5-15,0.513923,0.574281,0.513923,0.574281
2020-5-19,0.556434,0.647734,0.556434,0.647734
2020-5-23,0.621936,0.621936,0.579586,0.614983
2020-5-27,0.60822,0.60822,0.546574,0.57314
2020-5-31,0.5884,0.5884,0.57217,0.585813
2020-6-3,0.575677,0.578976,0.565814,0.565814
2020-6-7,0.586205,0.656961,0.586205,0.625417
2020-6-11,0.619375,0.667681,0.619375,0.650362
2020-6-15,0.571998,0.60881,0.571998,0.586183
2020-6-19,0.570331,0.619998,0.570331,0.619998
2020-6-23,0.686092,0.727173,0.644598,0.727173
2020-6-27,0.706734,0.740721,0.706734,0.740721
2020-6-30,0.713355,0.853127,0.713355,0.853127
2020-7-3,0.859296,0.859296,0.774611,0.774611
2020-7-7,0.76747,0.781187,0.692188,0.708409
2020-7-11,0.753477,0.913637,0.753477,0.913637
2020-7-15,0.921534,1.18,0.921534,1.15
2020-7-19,1.29,1.29,0.868918,0.967318
2020-7-23,0.922438,1.04,0.873059,1.04
2020-7-27,1.06,1.6,0.996204,1.6
2020-7-31,1.78,1.78,1.66,1.69
2020-8-3,1.54,1.75,1.53,1.75
2020-8-7,1.8,2.2,1.76,2.2
2020-8-11,2.07,3.14,2.07,3.14
2020-8-15,3.26,3.74,3.26,3.42
2020-8-19,3.17,3.39,3.1,3.33
2020-8-23,2.9,3.21,2.9,3.02
2020-8-27,3.33,3.55,3.26,3.55
2020-8-31,3.43,4.44,3.43,4.44
2020-9-3,4.79,4.79,4.18,4.18
2020-9-7,3.51,3.54,2.6,3.09
2020-9-11,2.91,3.63,2.47,3.45
2020-9-15,3.45,3.45,3.22,3.26
2020-9-19,2.93,3.08,2.55,3.08
2020-9-23,3.01,3.01,2.77,2.94
2020-9-27,2.84,3.19,2.84,3.14
2020-9-30,3.17,3.17,2.95,2.95
2020-10-3,2.9,2.9,2.63,2.63
2020-10-7,2.55,2.65,2.17,2.17
2020-10-11,2.29,2.54,2.29,2.41
2020-10-15,2.42,2.58,2.32,2.32
2020-10-19,2.27,2.27,2.14,2.21
2020-10-23,2.06,2.06,1.88,1.95
2020-10-27,1.96,1.96,1.68,1.68
2020-10-31,1.72,1.72,1.43,1.44
2020-11-3,1.54,1.6,1.48,1.48
2020-11-7,1.41,1.93,1.39,1.93
2020-11-11,2.03,2.25,2.03,2.25
2020-11-15,2.0,2.02,1.9,1.92
2020-11-19,2.04,2.26,2.04,2.12
2020-11-23,2.07,2.38,2.07,2.15
2020-11-27,2.27,2.27,1.9,1.9
2020-11-30,1.86,1.91,1.86,1.91
2020-12-3,1.97,2.12,1.97,2.12
2020-12-7,2.1,2.1,1.85,1.85
2020-12-11,1.83,1.83,1.58,1.58
2020-12-15,1.45,1.59,1.45,1.59
2020-12-19,1.75,1.78,1.68,1.7
2020-12-23,1.67,1.67,1.49,1.49
2020-12-27,1.21,1.45,1.21,1.33
2020-12-31,1.31,1.68,1.31,1.54
2021-1-3,1.52,1.84,1.52,1.8
2021-1-7,2.15,2.42,1.92,1.92
2021-1-11,2.37,3.47,2.37,3.47
2021-1-15,3.11,3.59,3.11,3.28
2021-1-19,3.26,3.82,3.26,3.78
2021-1-23,3.64,3.73,3.0,3.34
2021-1-27,3.5,4.03,3.5,4.03
2021-1-31,3.7,4.23,3.7,4.23
2021-2-3,4.26,5.26,4.26,5.26
2021-2-7,5.72,6.71,5.72,6.12
2021-2-11,6.66,9.02,6.66,9.02
2021-2-15,9.2,9.23,8.71,8.73
2021-2-19,8.85,9.01,8.23,9.01
2021-2-23,11.44,14.42,10.04,14.42
2021-2-27,15.16,17.47,13.67,13.67
2021-2-28,13.31,15.03,13.03,14.01
2021-3-7,14.13,14.13,12.63,13.07
2021-3-11,13.92,14.87,13.64,14.23
2021-3-15,15.98,15.98,14.57,14.57
2021-3-19,14.16,14.28,13.69,14.27
2021-3-23,14.18,14.87,14.18,14.87
2021-3-27,14.19,14.75,12.96,14.75
2021-3-31,16.57,19.18,16.57,19.18
2021-4-3,19.49,19.74,19.06,19.74
2021-4-7,22.6,24.99,22.6,24.99
2021-4-11,26.67,27.78,26.67,26.83
2021-4-15,27.82,28.52,26.45,26.45
2021-4-19,27.83,32.43,25.01,32.43
2021-4-23,31.73,39.04,31.69,39.04
2021-4-27,37.07,47.66,37.07,44.5
2021-4-30,43.22,45.04,42.58,42.58
2021-5-3,43.0,49.66,43.0,46.93
2021-5-7,46.09,46.09,42.7,43.44
2021-5-11,43.07,45.69,42.96,42.96
2021-5-15,44.72,44.72,41.11,42.87
2021-5-19,43.46,56.2,43.46,56.2
2021-5-23,35.76,35.76,35.76,35.76
