date,open,high,low,close
2019-10-7,0.8765,0.8765,0.851831,0.851831
2019-10-11,0.979946,1.76,0.979946,1.28
2019-10-15,0.996676,1.65,0.996676,1.04
2019-10-19,0.4511,1.35,0.4511,1.35
2019-10-23,1.33,1.33,1.14,1.23
2019-10-27,1.35,1.35,0.543307,0.823776
2019-10-31,0.856893,0.939648,0.779995,0.939648
2019-11-3,0.815532,0.836842,0.440006,0.836842
2019-11-7,0.939796,0.939796,0.538874,0.538874
2019-11-11,0.484936,0.484936,0.182265,0.244785
2019-11-15,0.239047,0.689663,0.22731,0.689663
2019-11-19,0.798125,1.35,0.798125,1.35
2019-11-23,1.48,2.18,1.48,1.94
2019-11-27,2.1,2.1,1.61,1.83
2019-11-30,1.62,2.07,1.62,2.07
2019-12-3,2.19,2.19,2.12,2.12
2019-12-7,2.11,2.8,2.11,2.8
2019-12-11,3.02,5.65,3.02,5.65
2019-12-15,7.14,7.14,5.66,5.66
2019-12-19,4.27,4.27,3.59,3.59
2019-12-23,3.55,4.19,3.55,4.1
2019-12-27,3.49,3.49,3.31,3.31
2019-12-31,3.63,4.39,3.63,4.12
2020-1-3,3.84,3.93,3.55,3.55
2020-1-7,3.89,3.89,3.56,3.56
2020-1-11,3.23,3.23,2.72,2.84
2020-1-15,2.95,2.95,2.68,2.82
2020-1-19,2.61,2.73,2.58,2.73
2020-1-23,2.56,2.56,2.49,2.51
2020-1-27,2.38,2.83,2.21,2.83
2020-1-31,3.19,4.08,3.19,3.59
2020-2-3,2.99,3.04,2.93,2.93
2020-2-7,2.9,3.13,2.9,3.04
2020-2-11,2.98,3.67,2.88,3.67
2020-2-15,4.11,4.43,4.11,4.42
2020-2-19,3.92,5.26,3.92,4.71
2020-2-23,4.69,5.41,4.5,5.41
2020-2-27,6.71,6.71,4.36,4.36
2020-2-29,4.48,4.48,4.28,4.28
2020-3-3,4.21,4.64,3.94,4.64
2020-3-7,4.34,6.69,4.34,6.69
2020-3-11,7.53,7.53,5.64,6.36
2020-3-15,6.12,6.12,3.34,4.13
2020-3-19,3.69,3.69,3.16,3.58
2020-3-23,4.06,4.06,3.03,3.03
2020-3-27,3.11,3.68,3.11,3.67
2020-3-31,3.2,3.2,2.9,3.13
2020-4-3,3.03,3.24,3.03,3.24
2020-4-7,3.74,3.82,3.67,3.82
2020-4-11,3.87,3.95,3.57,3.57
2020-4-15,3.46,4.05,3.42,4.05
2020-4-19,3.74,4.31,3.74,4.27
2020-4-23,4.56,5.33,4.4,5.33
2020-4-27,5.47,5.47,5.15,5.2
2020-4-30,5.08,5.08,4.9,4.9
2020-5-3,4.55,5.4,4.55,5.1
2020-5-7,4.87,6.16,4.87,6.14
2020-5-11,6.28,6.6,5.33,5.33
2020-5-15,5.08,5.63,5.08,5.63
2020-5-19,5.04,5.3,5.04,5.3
2020-5-23,5.1,5.1,4.76,5.05
2020-5-27,4.86,5.12,4.67,4.67
2020-5-31,4.99,6.09,4.99,6.01
2020-6-3,5.93,5.93,5.55,5.55
2020-6-7,5.69,6.21,5.54,6.21
2020-6-11,6.0,6.0,5.71,5.71
2020-6-15,5.6,5.7,5.51,5.51
2020-6-19,5.44,5.44,5.38,5.38
2020-6-23,5.92,8.92,5.92,8.92
2020-6-27,8.13,8.13,7.09,7.34
2020-6-30,7.1,7.26,7.1,7.23
2020-7-3,7.31,8.25,7.31,7.63
2020-7-7,7.56,7.56,7.24,7.37
2020-7-11,7.33,8.24,7.33,7.7
2020-7-15,7.95,10.8,7.95,10.62
2020-7-19,10.9,13.82,10.9,13.82
2020-7-23,17.18,17.18,15.44,15.89
2020-7-27,14.24,14.24,12.56,13.26
2020-7-31,12.85,12.85,11.39,12.66
2020-8-3,12.31,14.0,12.31,14.0
2020-8-7,14.22,20.53,14.22,20.53
2020-8-11,19.38,31.89,19.38,31.89
2020-8-15,29.28,47.67,29.28,47.67
2020-8-19,44.94,53.01,44.94,46.82
2020-8-23,42.31,46.61,42.31,42.98
2020-8-27,41.34,44.78,40.48,44.78
2020-8-31,54.39,75.21,54.39,71.97
2020-9-3,65.43,65.43,59.12,59.12
2020-9-7,42.97,45.54,30.69,38.22
2020-9-11,37.61,37.61,32.66,37.03
2020-9-15,37.84,45.02,37.84,39.04
2020-9-19,32.39,32.39,30.53,31.11
2020-9-23,30.81,30.81,21.43,21.43
2020-9-27,19.25,23.71,19.25,23.71
2020-9-30,23.12,24.86,23.12,23.39
2020-10-3,22.52,22.52,20.12,20.12
2020-10-7,18.76,18.76,13.92,13.92
2020-10-11,16.15,24.53,16.15,24.53
2020-10-15,22.72,25.53,21.73,21.73
2020-10-19,21.08,24.59,19.85,24.59
2020-10-23,22.03,23.88,19.21,23.88
2020-10-27,25.8,29.61,25.8,26.56
2020-10-31,26.23,26.23,20.58,21.28
2020-11-3,20.58,20.9,18.64,18.64
2020-11-7,18.01,25.26,18.01,25.26
2020-11-11,22.8,24.69,21.91,24.69
2020-11-15,23.68,24.28,22.37,23.37
2020-11-19,24.14,31.26,24.14,28.01
2020-11-23,27.74,32.62,27.74,32.62
2020-11-27,32.16,32.16,24.28,24.28
2020-11-30,24.25,25.14,24.25,25.14
2020-12-3,26.0,26.33,24.74,26.33
2020-12-7,28.35,28.35,25.25,26.04
2020-12-11,25.71,25.71,23.27,23.49
2020-12-15,22.6,24.91,22.6,24.91
2020-12-19,24.89,25.07,24.57,24.57
2020-12-23,24.55,24.55,20.24,20.89
2020-12-27,16.72,18.41,16.72,17.18
2020-12-31,17.83,19.85,17.58,17.58
2021-1-3,17.77,17.88,17.72,17.88
2021-1-7,20.05,23.41,18.86,23.41
2021-1-11,22.71,23.97,22.29,22.86
2021-1-15,19.39,21.34,18.73,21.16
2021-1-19,27.3,34.59,26.78,31.97
2021-1-23,28.14,29.77,23.72,25.66
2021-1-27,29.18,29.54,28.41,29.54
2021-1-31,31.34,32.85,31.34,31.8
2021-2-3,29.97,31.91,29.97,31.91
2021-2-7,37.13,39.53,36.25,36.25
2021-2-11,35.8,52.45,35.8,52.45
2021-2-15,56.82,59.14,51.42,51.42
2021-2-19,43.59,50.54,43.59,50.54
2021-2-23,54.79,54.79,40.71,40.71
2021-2-27,31.3,36.09,31.3,33.48
2021-2-28,34.26,35.26,31.49,35.26
2021-3-7,38.57,38.99,37.75,37.75
2021-3-11,42.35,44.94,40.61,40.61
2021-3-15,42.13,46.61,42.13,44.63
2021-3-19,48.85,51.81,48.82,51.81
2021-3-23,51.59,60.39,49.02,60.39
2021-3-27,56.17,63.51,48.39,63.51
2021-3-31,75.44,85.94,72.06,85.94
2021-4-3,78.42,78.42,74.58,74.58
2021-4-7,67.19,79.9,67.19,78.92
2021-4-11,70.78,82.46,70.78,78.86
2021-4-15,78.59,78.59,72.9,73.59
2021-4-19,79.97,84.77,75.67,75.67
2021-4-23,85.28,91.95,69.69,69.69
2021-4-27,63.86,87.98,61.3,87.98
2021-4-30,86.8,86.8,81.37,81.37
2021-5-3,83.56,96.76,83.56,96.76
2021-5-7,98.93,122.0,98.93,109.55
2021-5-11,105.05,146.14,105.05,123.02
2021-5-15,122.8,122.8,99.85,107.46
2021-5-19,92.82,94.23,85.75,89.08
2021-5-23,57.15,57.15,57.15,57.15
