date,open,high,low,close
2017-11-11,0.002387,0.002387,0.001915,0.001915
2017-11-15,0.001804,0.002415,0.001804,0.00232
2017-11-19,0.002248,0.002248,0.001985,0.001985
2017-11-23,0.002133,0.002333,0.00213,0.002138
2017-11-27,0.002071,0.002114,0.002015,0.00209
2017-11-30,0.002393,0.002393,0.002054,0.002311
2017-12-3,0.002141,0.002141,0.0021,0.0021
2017-12-7,0.002153,0.003927,0.002137,0.003927
2017-12-11,0.004243,0.005136,0.004243,0.005136
2017-12-15,0.007537,0.01762,0.007537,0.01762
2017-12-19,0.036782,0.043455,0.034197,0.043455
2017-12-23,0.049684,0.051115,0.035609,0.051115
2017-12-27,0.037559,0.038448,0.032207,0.037324
2017-12-31,0.041915,0.046559,0.036851,0.046559
2018-1-3,0.051654,0.098107,0.051654,0.098107
2018-1-7,0.218139,0.231673,0.179287,0.199786
2018-1-11,0.156905,0.156905,0.114172,0.114172
2018-1-15,0.115964,0.115964,0.080469,0.080469
2018-1-19,0.055139,0.084763,0.055139,0.082478
2018-1-23,0.088571,0.088571,0.069001,0.069001
2018-1-27,0.070329,0.070329,0.065936,0.068792
2018-1-31,0.065094,0.065094,0.053454,0.053454
2018-2-3,0.054183,0.054183,0.042134,0.042134
2018-2-7,0.044715,0.044715,0.029697,0.035931
2018-2-11,0.032873,0.048145,0.032873,0.048145
2018-2-15,0.042498,0.046283,0.042498,0.04592
2018-2-19,0.046777,0.054525,0.046777,0.050026
2018-2-23,0.051347,0.051347,0.040548,0.0406
2018-2-27,0.04318,0.04318,0.040344,0.041732
2018-2-28,0.042802,0.053408,0.042802,0.053408
2018-3-7,0.04886,0.04886,0.043931,0.043931
2018-3-11,0.039062,0.039062,0.035224,0.035224
2018-3-15,0.038732,0.038732,0.031363,0.031363
2018-3-19,0.030545,0.031115,0.028657,0.028657
2018-3-23,0.032948,0.03804,0.032948,0.037742
2018-3-27,0.041254,0.050211,0.041254,0.044719
2018-3-31,0.043488,0.048569,0.041609,0.041609
2018-4-3,0.034138,0.035743,0.032311,0.035743
2018-4-7,0.034942,0.039924,0.03028,0.036958
2018-4-11,0.037041,0.037518,0.03588,0.036961
2018-4-15,0.036154,0.039572,0.036154,0.039572
2018-4-19,0.042611,0.047176,0.041258,0.047176
2018-4-23,0.049359,0.053587,0.049359,0.052323
2018-4-27,0.058233,0.073863,0.058233,0.073863
2018-4-30,0.074149,0.088792,0.074149,0.088792
2018-5-3,0.093476,0.093476,0.090665,0.090665
2018-5-7,0.087746,0.087746,0.084766,0.084766
2018-5-11,0.08306,0.08306,0.073402,0.073402
2018-5-15,0.066094,0.075727,0.066094,0.072805
2018-5-19,0.068305,0.071851,0.067357,0.069363
2018-5-23,0.068828,0.082202,0.068828,0.074837
2018-5-27,0.070065,0.07296,0.070065,0.07296
2018-5-31,0.070565,0.070565,0.060672,0.06235
2018-6-3,0.060488,0.060818,0.058756,0.060818
2018-6-7,0.061668,0.061668,0.058946,0.059165
2018-6-11,0.058486,0.058486,0.047986,0.047986
2018-6-15,0.048646,0.048646,0.041536,0.045317
2018-6-19,0.042503,0.045025,0.042337,0.045025
2018-6-23,0.049286,0.049286,0.043398,0.043398
2018-6-27,0.044302,0.044302,0.038374,0.038374
2018-6-30,0.03907,0.03907,0.036889,0.037143
2018-7-3,0.038412,0.039528,0.037259,0.039528
2018-7-7,0.038881,0.038881,0.037149,0.037149
2018-7-11,0.037889,0.037889,0.033982,0.033982
2018-7-15,0.033751,0.033751,0.032477,0.033416
2018-7-19,0.034484,0.039596,0.034484,0.03956
2018-7-23,0.037848,0.037848,0.034908,0.035154
2018-7-27,0.034173,0.038082,0.034173,0.035927
2018-7-31,0.036459,0.039262,0.036459,0.036535
2018-8-3,0.033879,0.033879,0.031503,0.031503
2018-8-7,0.030548,0.030548,0.028918,0.029185
2018-8-11,0.02777,0.02777,0.023789,0.023789
2018-8-15,0.022441,0.022535,0.018943,0.018943
2018-8-19,0.019427,0.023228,0.019427,0.021597
2018-8-23,0.022237,0.022237,0.019681,0.019681
2018-8-27,0.020745,0.022791,0.020745,0.022791
2018-8-31,0.024599,0.026908,0.024599,0.024774
2018-9-3,0.025304,0.026669,0.025304,0.025578
2018-9-7,0.025044,0.025224,0.021599,0.021599
2018-9-11,0.020521,0.020521,0.019171,0.019315
2018-9-15,0.01852,0.020018,0.018194,0.019812
2018-9-19,0.019855,0.019952,0.018472,0.019395
2018-9-23,0.019688,0.025099,0.019688,0.023343
2018-9-27,0.023857,0.023857,0.020934,0.020934
2018-9-30,0.022525,0.022525,0.021935,0.022063
2018-10-3,0.022161,0.022161,0.022016,0.022016
2018-10-7,0.021628,0.023748,0.021628,0.023748
2018-10-11,0.026858,0.026858,0.025372,0.025372
2018-10-15,0.021085,0.023817,0.021085,0.023817
2018-10-19,0.025357,0.025357,0.024486,0.024486
2018-10-23,0.02425,0.024386,0.023975,0.023975
2018-10-27,0.023543,0.023747,0.023243,0.023747
2018-10-31,0.023425,0.023562,0.022126,0.02221
2018-11-3,0.022404,0.022948,0.022397,0.022948
2018-11-7,0.022728,0.024607,0.022728,0.024607
2018-11-11,0.024159,0.024159,0.023055,0.023055
2018-11-15,0.022917,0.022917,0.019721,0.019721
2018-11-19,0.019256,0.019256,0.018948,0.018948
2018-11-23,0.015857,0.015857,0.013765,0.013765
2018-11-27,0.013787,0.013787,0.011817,0.011817
2018-11-30,0.01196,0.015709,0.01196,0.015709
2018-12-3,0.014387,0.015183,0.014387,0.014886
2018-12-7,0.013866,0.014343,0.012718,0.012718
2018-12-11,0.01313,0.013428,0.013095,0.013095
2018-12-15,0.013163,0.01322,0.012715,0.012715
2018-12-19,0.012711,0.014637,0.012711,0.014637
2018-12-23,0.015511,0.020641,0.015511,0.020641
2018-12-27,0.020594,0.020862,0.019458,0.020082
2018-12-31,0.018182,0.020377,0.018182,0.019607
2019-1-3,0.018605,0.019837,0.018605,0.019837
2019-1-7,0.019748,0.022646,0.019748,0.022646
2019-1-11,0.023154,0.027947,0.023154,0.025631
2019-1-15,0.024892,0.025276,0.021018,0.025276
2019-1-19,0.024345,0.024952,0.024345,0.024451
2019-1-23,0.024216,0.026227,0.023535,0.026227
2019-1-27,0.026266,0.028408,0.026266,0.028408
2019-1-31,0.029096,0.029096,0.026662,0.027089
2019-2-3,0.025309,0.026169,0.025309,0.025914
2019-2-7,0.025389,0.026884,0.025389,0.025539
2019-2-11,0.025664,0.026793,0.025664,0.025838
2019-2-15,0.024623,0.024623,0.023317,0.023317
2019-2-19,0.023693,0.024756,0.023564,0.024756
2019-2-23,0.024843,0.025103,0.024685,0.024978
2019-2-27,0.025264,0.025264,0.023782,0.024076
2019-2-28,0.023927,0.023927,0.022711,0.022711
2019-3-7,0.022471,0.023739,0.022471,0.02321
2019-3-11,0.022974,0.022974,0.022362,0.022956
2019-3-15,0.022061,0.022413,0.022061,0.022413
2019-3-19,0.022946,0.023177,0.022791,0.022791
2019-3-23,0.022786,0.022852,0.022215,0.02256
2019-3-27,0.024258,0.024258,0.022386,0.022386
2019-3-31,0.023355,0.023355,0.023143,0.023266
2019-4-3,0.023527,0.026766,0.023527,0.026766
2019-4-7,0.026063,0.02712,0.025881,0.026771
2019-4-11,0.028769,0.030685,0.028769,0.03005
2019-4-15,0.026683,0.026966,0.026231,0.026966
2019-4-19,0.026397,0.026911,0.026397,0.026903
2019-4-23,0.026433,0.026433,0.025041,0.025087
2019-4-27,0.024353,0.024353,0.023056,0.024003
2019-4-30,0.023679,0.023679,0.022691,0.022691
2019-5-3,0.023865,0.023865,0.023436,0.023436
2019-5-7,0.023917,0.023917,0.023219,0.023833
2019-5-11,0.023959,0.024551,0.023428,0.023506
2019-5-15,0.025613,0.027637,0.023801,0.027637
2019-5-19,0.031412,0.031412,0.02693,0.02693
2019-5-23,0.02849,0.028812,0.02717,0.02717
2019-5-27,0.02718,0.031116,0.02718,0.031116
2019-5-31,0.03522,0.03522,0.031416,0.031416
2019-6-3,0.032856,0.038601,0.032856,0.038601
2019-6-7,0.034318,0.034818,0.032719,0.032719
2019-6-11,0.033845,0.033845,0.029948,0.031712
2019-6-15,0.031253,0.033562,0.031253,0.032044
2019-6-19,0.032686,0.033816,0.032686,0.033028
2019-6-23,0.033386,0.037276,0.032781,0.037276
2019-6-27,0.037356,0.038572,0.036741,0.036741
