date,open,high,low,close
2017-7-27,3.51,3.51,2.74,2.76
2017-7-31,2.98,2.98,2.74,2.77
2017-8-3,3.08,3.85,3.08,3.85
2017-8-7,3.68,5.66,3.68,5.66
2017-8-11,5.35,5.61,5.27,5.54
2017-8-15,5.02,5.02,4.69,4.83
2017-8-19,4.83,4.83,4.26,4.45
2017-8-23,4.91,4.91,4.39,4.66
2017-8-27,4.96,5.45,4.96,5.23
2017-8-31,5.27,5.94,5.27,5.94
2017-9-3,5.73,5.73,5.2,5.21
2017-9-7,4.72,5.13,4.72,4.99
2017-9-11,4.49,4.49,4.36,4.36
2017-9-15,4.35,4.35,3.1,3.75
2017-9-19,3.75,4.32,3.64,4.21
2017-9-23,4.06,4.06,3.66,3.96
2017-9-27,3.96,5.19,3.96,5.19
2017-9-30,4.78,5.04,4.78,5.04
2017-10-3,4.99,4.99,4.73,4.73
2017-10-7,4.92,5.02,4.92,5.02
2017-10-11,4.44,4.44,4.11,4.17
2017-10-15,3.72,4.01,3.72,3.8
2017-10-19,4.04,4.05,3.91,3.91
2017-10-23,3.68,3.68,3.59,3.67
2017-10-27,3.75,3.75,3.54,3.54
2017-10-31,3.47,3.58,3.23,3.23
2017-11-3,2.93,3.71,2.93,3.71
2017-11-7,3.65,3.7,3.44,3.7
2017-11-11,4.51,4.87,4.1,4.1
2017-11-15,3.66,5.06,3.66,5.06
2017-11-19,4.78,5.3,4.78,5.11
2017-11-23,5.24,5.3,5.19,5.21
2017-11-27,5.23,5.68,5.23,5.68
2017-11-30,5.82,5.82,4.93,4.93
2017-12-3,5.74,6.14,5.74,6.14
2017-12-7,6.63,8.5,6.63,8.5
2017-12-11,8.42,11.2,8.42,11.2
2017-12-15,15.09,15.09,13.12,13.12
2017-12-19,13.39,15.81,13.39,15.81
2017-12-23,15.24,16.08,12.82,14.7
2017-12-27,13.69,14.31,13.63,13.63
2017-12-31,12.69,13.71,11.78,12.66
2018-1-3,12.6,13.24,12.6,12.97
2018-1-7,12.51,12.94,12.04,12.94
2018-1-11,13.38,13.38,10.7,10.7
2018-1-15,11.32,11.8,10.75,10.75
