date,open,high,low,close
2017-7-27,45.5,46.03,40.91,45.15
2017-7-31,43.86,43.89,39.72,40.14
2017-8-3,44.36,44.36,43.45,43.45
2017-8-7,45.18,49.6,45.18,49.6
2017-8-11,51.83,51.83,48.95,49.95
2017-8-15,48.71,48.71,47.44,48.57
2017-8-19,47.55,55.03,46.65,55.03
2017-8-23,54.18,89.31,54.18,89.13
2017-8-27,83.75,131.41,83.75,125.48
2017-8-31,141.12,141.12,128.53,140.7
2017-9-3,141.71,141.71,123.15,127.24
2017-9-7,107.98,123.33,107.98,121.56
2017-9-11,117.27,117.27,110.99,111.65
2017-9-15,111.26,111.26,84.39,97.68
2017-9-19,94.75,100.83,92.44,98.11
2017-9-23,94.89,94.89,86.31,91.54
2017-9-27,89.46,100.53,89.46,100.53
2017-9-30,96.33,96.33,93.96,95.06
2017-10-3,92.99,93.17,91.33,93.17
2017-10-7,90.54,91.27,90.54,91.21
2017-10-11,89.37,89.37,85.39,87.29
2017-10-15,86.15,99.79,86.15,94.71
2017-10-19,95.17,95.17,88.8,88.8
2017-10-23,89.7,89.7,85.92,85.92
2017-10-27,88.8,88.8,86.98,86.98
2017-10-31,86.06,88.41,86.06,86.93
2017-11-3,85.53,88.17,83.54,88.17
2017-11-7,87.18,103.77,86.76,100.92
2017-11-11,113.68,121.14,106.17,119.32
2017-11-15,119.2,123.19,119.2,121.82
2017-11-19,119.99,131.24,119.99,129.11
2017-11-23,135.98,166.63,135.98,160.98
2017-11-27,160.96,173.45,160.96,173.45
2017-11-30,199.98,199.98,168.03,182.02
2017-12-3,189.81,200.83,189.81,196.71
2017-12-7,207.47,295.87,207.47,295.87
2017-12-11,280.53,281.49,252.12,281.49
2017-12-15,307.54,332.03,307.54,316.77
2017-12-19,329.56,381.97,329.56,381.97
2017-12-23,483.35,483.35,348.18,378.49
2017-12-27,350.45,393.15,347.94,393.15
2017-12-31,369.39,369.39,329.56,353.52
2018-1-3,357.18,395.26,357.18,395.26
2018-1-7,415.03,465.7,402.51,465.7
2018-1-11,420.89,542.33,367.97,367.97
2018-1-15,411.17,480.45,411.17,432.42
2018-1-19,325.3,387.13,325.07,387.13
2018-1-23,419.3,419.3,309.33,309.33
2018-1-27,323.69,326.9,317.15,326.9
2018-1-31,329.95,329.95,273.61,273.61
2018-2-3,270.24,270.24,235.47,235.47
2018-2-7,246.86,246.86,179.28,211.04
2018-2-11,208.4,256.41,208.4,251.99
2018-2-15,232.74,271.95,232.74,271.95
2018-2-19,303.98,324.64,292.91,301.69
2018-2-23,315.75,315.75,283.38,286.8
2018-2-27,286.97,295.71,269.5,295.71
2018-2-28,303.51,344.87,284.56,344.87
2018-3-7,354.15,374.38,345.61,345.61
2018-3-11,340.53,340.53,257.37,257.37
2018-3-15,280.9,280.9,215.41,215.41
2018-3-19,215.87,220.5,200.93,209.58
2018-3-23,217.04,224.03,213.47,213.47
2018-3-27,214.41,214.41,197.25,197.25
2018-3-31,189.05,198.89,173.21,173.21
2018-4-3,180.19,180.19,175.89,177.98
2018-4-7,190.16,190.16,162.03,162.03
2018-4-11,169.64,173.3,165.8,165.8
2018-4-15,168.27,190.37,168.27,188.6
2018-4-19,199.06,227.67,193.84,227.67
2018-4-23,238.8,271.23,238.8,271.23
2018-4-27,282.68,295.73,257.18,267.71
2018-4-30,251.34,259.13,251.34,255.33
2018-5-3,240.88,247.78,238.68,247.78
2018-5-7,242.48,242.48,235.0,235.0
2018-5-11,232.62,232.62,216.36,216.36
2018-5-15,198.01,214.28,198.01,214.28
2018-5-19,203.71,204.11,191.59,204.11
2018-5-23,196.56,202.2,176.39,176.39
2018-5-27,171.48,171.52,164.13,164.13
2018-5-31,165.68,165.68,149.48,154.57
2018-6-3,155.37,161.44,155.37,161.44
2018-6-7,168.07,168.07,159.72,163.84
2018-6-11,162.86,162.86,139.24,139.24
2018-6-15,137.98,137.98,121.36,132.83
2018-6-19,122.47,126.62,122.47,126.62
2018-6-23,125.66,125.66,111.07,111.07
2018-6-27,115.62,126.72,115.62,120.53
2018-6-30,128.44,128.44,115.8,126.59
2018-7-3,130.9,139.88,128.55,139.88
2018-7-7,138.3,138.56,133.99,133.99
2018-7-11,134.31,137.85,121.22,121.22
2018-7-15,124.72,124.72,120.16,122.82
2018-7-19,123.66,143.65,123.66,138.94
2018-7-23,139.71,139.71,128.7,128.7
2018-7-27,133.49,146.65,133.49,136.52
2018-7-31,140.28,140.28,131.91,131.91
2018-8-3,122.29,128.37,122.29,122.54
2018-8-7,120.14,120.14,113.59,113.59
2018-8-11,107.7,107.7,91.39,91.39
2018-8-15,92.98,93.31,84.14,84.14
2018-8-19,89.21,98.93,89.21,98.0
2018-8-23,98.34,98.34,89.82,89.82
2018-8-27,89.93,95.08,89.93,95.08
2018-8-31,105.08,107.73,102.67,102.67
