date,open,high,low,close
2013-8-7,0.005874,0.005874,0.004486,0.004486
2013-8-11,0.004196,0.004372,0.004196,0.004372
2013-8-15,0.004397,0.004397,0.003328,0.003328
2013-8-19,0.002901,0.006198,0.002901,0.00556
2013-8-23,0.006061,0.006338,0.005135,0.005135
2013-8-27,0.005528,0.006466,0.005528,0.00642
2013-8-31,0.006349,0.006349,0.00582,0.005863
2013-9-3,0.005801,0.005801,0.005627,0.005673
2013-9-7,0.005577,0.006188,0.005577,0.006188
2013-9-11,0.006142,0.006189,0.005854,0.006081
2013-9-15,0.006426,0.006589,0.006341,0.006429
2013-9-19,0.007043,0.011122,0.007043,0.011122
2013-9-23,0.010114,0.010401,0.009745,0.010019
2013-9-27,0.010433,0.011676,0.010433,0.011676
2013-9-30,0.014347,0.014347,0.011041,0.011041
2013-10-3,0.011937,0.011937,0.008401,0.008401
2013-10-7,0.009467,0.010375,0.00928,0.009331
2013-10-11,0.009719,0.010089,0.009067,0.009067
2013-10-15,0.008916,0.008916,0.007987,0.007987
2013-10-19,0.007585,0.007767,0.007293,0.007293
2013-10-23,0.00753,0.00753,0.006742,0.00743
2013-10-27,0.008728,0.008728,0.006307,0.006645
2013-10-31,0.006328,0.006328,0.005935,0.005997
2013-11-3,0.006183,0.007153,0.006183,0.007153
2013-11-7,0.00719,0.008893,0.006994,0.008893
2013-11-11,0.01056,0.01056,0.008375,0.008375
2013-11-15,0.008926,0.01051,0.008926,0.00963
2013-11-19,0.009982,0.010964,0.008294,0.008294
2013-11-23,0.007286,0.009958,0.007286,0.009958
2013-11-27,0.013479,0.023488,0.013479,0.023488
2013-11-30,0.029764,0.035777,0.029764,0.035777
2013-12-3,0.052731,0.057516,0.049197,0.049197
2013-12-7,0.054397,0.054397,0.034676,0.034676
2013-12-11,0.034439,0.043748,0.034439,0.038061
2013-12-15,0.034566,0.034566,0.029061,0.029061
2013-12-19,0.023415,0.023415,0.016846,0.020783
2013-12-23,0.021427,0.023161,0.021427,0.023161
2013-12-27,0.022534,0.026443,0.021963,0.026443
2013-12-31,0.027335,0.027668,0.027262,0.027438
2014-1-3,0.027043,0.028997,0.027043,0.027694
2014-1-7,0.028087,0.028087,0.023774,0.023774
2014-1-11,0.023165,0.023942,0.022562,0.023942
2014-1-15,0.022199,0.022255,0.021214,0.022255
2014-1-19,0.021066,0.021344,0.020438,0.021344
2014-1-23,0.020766,0.020766,0.019116,0.019116
2014-1-27,0.018285,0.020413,0.018285,0.020413
2014-1-31,0.020954,0.020954,0.020337,0.020337
2014-2-3,0.020633,0.021464,0.020633,0.021464
2014-2-7,0.021489,0.021489,0.018348,0.018348
2014-2-11,0.018449,0.018449,0.017326,0.018246
2014-2-15,0.017247,0.017247,0.015767,0.015913
2014-2-19,0.016189,0.016189,0.015217,0.015217
2014-2-23,0.015357,0.015629,0.014581,0.015629
2014-2-27,0.014964,0.014964,0.011343,0.013844
2014-2-28,0.014129,0.014129,0.013683,0.013915
2014-3-7,0.015657,0.016014,0.015258,0.015258
2014-3-11,0.014728,0.014745,0.014489,0.014745
2014-3-15,0.01437,0.01437,0.01426,0.014367
2014-3-19,0.014368,0.014368,0.013694,0.014008
2014-3-23,0.013699,0.013699,0.012749,0.012749
2014-3-27,0.01253,0.012732,0.011015,0.011015
2014-3-31,0.010733,0.010733,0.009057,0.009057
2014-4-3,0.008703,0.009722,0.007761,0.007761
2014-4-7,0.007743,0.008316,0.007743,0.008222
2014-4-11,0.008325,0.008325,0.005791,0.006045
2014-4-15,0.006058,0.006933,0.006058,0.006933
2014-4-19,0.006699,0.006806,0.006284,0.006806
2014-4-23,0.006271,0.006271,0.006061,0.006094
2014-4-27,0.005976,0.005976,0.004765,0.004765
2014-4-30,0.005081,0.005438,0.005081,0.005438
2014-5-3,0.005306,0.005306,0.005038,0.005156
2014-5-7,0.004956,0.00667,0.004956,0.006607
2014-5-11,0.006687,0.006687,0.005894,0.005894
2014-5-15,0.005942,0.00733,0.005942,0.006957
2014-5-19,0.006744,0.006744,0.00573,0.006121
2014-5-23,0.006487,0.006696,0.002686,0.003341
2014-5-27,0.003531,0.004522,0.003531,0.004522
2014-5-31,0.004538,0.004538,0.003895,0.004145
2014-6-3,0.004475,0.004475,0.003866,0.004451
2014-6-7,0.004136,0.004218,0.003969,0.003969
2014-6-11,0.004003,0.004784,0.004003,0.004498
2014-6-15,0.003953,0.004058,0.003953,0.004055
2014-6-19,0.004231,0.004268,0.004154,0.004154
2014-6-23,0.004189,0.004189,0.004076,0.004076
2014-6-27,0.00407,0.00407,0.00394,0.003993
2014-6-30,0.003926,0.004028,0.003779,0.003779
2014-7-3,0.00366,0.00366,0.003357,0.003357
2014-7-7,0.003243,0.003243,0.002807,0.003083
2014-7-11,0.003398,0.003419,0.003398,0.003419
2014-7-15,0.003419,0.003419,0.003419,0.003419
2014-7-19,0.003419,0.00636,0.003419,0.005259
2014-7-23,0.005376,0.006148,0.005361,0.006148
2014-7-27,0.005926,0.006039,0.005926,0.006024
2014-7-31,0.006159,0.006159,0.005094,0.005208
2014-8-3,0.005341,0.005341,0.005219,0.005219
2014-8-7,0.004947,0.005343,0.004947,0.005343
2014-8-11,0.005461,0.005461,0.004974,0.005219
2014-8-15,0.005045,0.00542,0.004969,0.00542
2014-8-19,0.00543,0.00543,0.004977,0.005041
2014-8-23,0.005271,0.005271,0.005013,0.005013
2014-8-27,0.005152,0.005152,0.004835,0.005008
2014-8-31,0.005053,0.005053,0.004896,0.004896
2014-9-3,0.005024,0.005024,0.004643,0.004777
2014-9-7,0.004813,0.004873,0.00471,0.00471
2014-9-11,0.004706,0.004747,0.004706,0.004746
2014-9-15,0.004696,0.005166,0.004696,0.005053
2014-9-19,0.005109,0.005449,0.004943,0.004943
2014-9-23,0.004787,0.004787,0.004564,0.004595
2014-9-27,0.004629,0.004716,0.004606,0.004716
2014-9-30,0.005276,0.005276,0.004654,0.004654
2014-10-3,0.00477,0.004986,0.00477,0.004986
2014-10-7,0.004941,0.004941,0.004709,0.004772
2014-10-11,0.004787,0.004866,0.004758,0.004758
2014-10-15,0.004837,0.004873,0.004806,0.004825
2014-10-19,0.004849,0.004967,0.004849,0.004946
2014-10-23,0.005082,0.005214,0.005082,0.005148
2014-10-27,0.005076,0.005076,0.004544,0.004897
2014-10-31,0.004792,0.004891,0.004782,0.004866
2014-11-3,0.004659,0.004809,0.004659,0.004809
2014-11-7,0.004805,0.004878,0.004805,0.004874
2014-11-11,0.004907,0.004935,0.004896,0.004896
2014-11-15,0.005082,0.005187,0.005043,0.005072
2014-11-19,0.005182,0.005691,0.005182,0.005691
2014-11-23,0.006075,0.008583,0.006075,0.008583
2014-11-27,0.008616,0.013901,0.008616,0.013901
2014-11-30,0.015121,0.015121,0.011226,0.011226
2014-12-3,0.012432,0.013201,0.012432,0.013126
2014-12-7,0.013321,0.014762,0.013321,0.014762
2014-12-11,0.013416,0.016374,0.013416,0.016374
2014-12-15,0.016374,0.018197,0.016374,0.018197
2014-12-19,0.021603,0.027913,0.021603,0.023456
2014-12-23,0.022696,0.025517,0.022696,0.024015
2014-12-27,0.023273,0.02534,0.023273,0.024209
2014-12-31,0.023713,0.024338,0.023713,0.024338
2015-1-3,0.024376,0.024376,0.02227,0.02227
2015-1-7,0.018855,0.02083,0.018855,0.02083
2015-1-11,0.020683,0.020683,0.018835,0.018835
2015-1-15,0.018523,0.018523,0.014167,0.016491
2015-1-19,0.016426,0.016426,0.015384,0.015999
2015-1-23,0.016109,0.016985,0.016109,0.016724
2015-1-27,0.016754,0.016754,0.015807,0.015807
2015-1-31,0.014986,0.014986,0.014409,0.014409
2015-2-3,0.014154,0.014154,0.01303,0.01303
2015-2-7,0.013472,0.015242,0.013472,0.014572
2015-2-11,0.014452,0.014452,0.013651,0.013761
2015-2-15,0.014057,0.015,0.013711,0.013711
2015-2-19,0.01379,0.013988,0.013767,0.01377
2015-2-23,0.013504,0.013504,0.013132,0.013333
2015-2-27,0.013398,0.013434,0.013293,0.013434
2015-2-28,0.013025,0.013025,0.010593,0.010593
2015-3-7,0.009903,0.011531,0.009903,0.010579
2015-3-11,0.010461,0.010688,0.010081,0.010081
2015-3-15,0.010354,0.011083,0.010354,0.010828
2015-3-19,0.010973,0.010973,0.010491,0.010491
2015-3-23,0.010441,0.010441,0.010182,0.010298
2015-3-27,0.009801,0.009801,0.008749,0.008933
2015-3-31,0.008869,0.008869,0.008869,0.008869
