date,open,high,low,close
2017-7-27,206.9,206.9,183.66,186.01
2017-7-31,176.95,188.93,175.46,175.46
2017-8-3,192.77,192.77,186.25,186.25
2017-8-7,187.32,208.19,187.32,208.19
2017-8-11,244.95,244.95,231.03,234.25
2017-8-15,223.02,223.02,210.07,211.83
2017-8-19,217.01,217.05,200.97,201.9
2017-8-23,240.93,240.93,228.33,229.22
2017-8-27,228.07,285.3,228.07,274.11
2017-8-31,274.85,283.37,271.02,283.37
2017-9-3,306.85,306.85,252.59,259.72
2017-9-7,220.94,247.31,220.94,246.89
2017-9-11,213.56,213.56,208.13,208.13
2017-9-15,206.38,206.38,158.83,181.43
2017-9-19,172.09,193.11,172.09,188.83
2017-9-23,188.07,204.0,176.15,204.0
2017-9-27,206.5,288.01,206.5,288.01
2017-9-30,312.15,312.15,277.42,277.42
2017-10-3,265.96,265.96,252.73,252.73
2017-10-7,237.79,258.75,237.79,255.22
2017-10-11,241.24,241.24,229.75,236.14
2017-10-15,227.31,240.89,227.31,231.84
2017-10-19,232.66,232.66,229.78,230.39
2017-10-23,222.8,222.8,207.02,207.02
2017-10-27,215.96,244.45,215.96,244.45
2017-10-31,232.34,243.37,232.34,233.13
2017-11-3,222.3,232.65,216.95,232.65
2017-11-7,230.67,241.42,225.37,241.42
2017-11-11,250.98,260.86,238.1,252.65
2017-11-15,251.55,290.44,251.55,290.44
2017-11-19,295.45,298.66,291.52,298.47
2017-11-23,301.96,316.74,290.79,315.42
2017-11-27,340.97,345.2,339.82,343.95
2017-11-30,368.59,368.59,303.57,311.8
2017-12-3,332.71,332.71,322.63,322.63
2017-12-7,328.71,336.42,308.88,308.88
2017-12-11,328.93,328.93,291.83,318.34
2017-12-15,373.75,519.65,373.75,467.87
2017-12-19,466.34,613.15,466.34,613.15
2017-12-23,674.28,674.28,540.14,602.56
2017-12-27,525.08,572.05,525.08,553.83
2017-12-31,505.11,572.83,484.82,506.84
2018-1-3,597.0,597.0,580.56,580.56
2018-1-7,594.54,880.2,588.63,880.2
2018-1-11,693.89,719.9,654.49,654.49
2018-1-15,694.37,701.98,629.81,629.81
2018-1-19,514.26,521.7,489.31,521.7
2018-1-23,555.08,555.08,441.98,445.66
2018-1-27,451.08,469.41,451.08,457.23
2018-1-31,472.56,472.56,388.13,388.13
2018-2-3,396.03,402.42,381.86,381.86
2018-2-7,387.16,387.16,304.6,371.52
2018-2-11,360.24,482.52,360.24,482.52
2018-2-15,439.92,483.7,439.92,483.7
2018-2-19,485.84,493.0,454.73,454.73
2018-2-23,471.48,471.48,399.31,402.51
2018-2-27,416.28,416.28,390.2,408.56
2018-2-28,412.08,412.08,386.23,390.35
2018-3-7,387.8,403.66,382.41,382.41
2018-3-11,347.78,347.78,289.05,289.05
2018-3-15,310.87,310.87,248.67,248.67
2018-3-19,244.34,244.34,224.65,243.71
2018-3-23,250.58,259.67,249.29,249.29
2018-3-27,255.2,255.2,225.43,225.43
2018-3-31,218.94,218.94,186.3,190.58
2018-4-3,185.61,194.38,182.75,194.38
